state4.2
"[231.6, 257.6]"
"[1470.3, 1526.5]"
"[1632.0, 1662.6]"
"[3780.0, 3810.1]"
"[3878.8, 3898.5]"
"[4671.7, 4758.0]"
"[4867.4, 4886.1]"
"[5759.0, 5884.5]"
"[6630.2, 6693.5]"
"[7429.9, 7465.2]"
"[8650.3, 8673.1]"
"[9378.6, 9485.7]"
"[10330.0, 10485.0]"
"[11906.0, 11985.0]"
"[12155.0, 12213.0]"
"[13627.0, 13781.0]"
"[13859.0, 13913.0]"
"[16433.0, 16496.0]"
"[17058.0, 17177.0]"
"[20597.0, 20680.0]"
"[22778.0, 22881.0]"
"[24421.0, 24460.0]"
"[25474.0, 25540.0]"
"[29550.0, 29592.0]"
"[32121.0, 32163.0]"
"[32589.0, 32644.0]"
"[34060.0, 34160.0]"
"[34364.0, 34512.0]"
"[36132.0, 36172.0]"
"[37800.0, 37867.0]"
"[38321.0, 38444.0]"
"[38508.0, 38535.0]"
"[40484.0, 40524.0]"
"[41591.0, 41711.0]"
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
