state4.2
"[719.71, 826.83]"
"[952.69, 990.33]"
"[2000.2, 2062.5]"
"[6244.2, 6266.6]"
"[6588.0, 6614.5]"
"[6696.2, 6866.1]"
"[7700.2, 7750.1]"
"[8254.7, 8294.2]"
"[9018.9, 9137.3]"
"[9602.5, 9641.2]"
"[9930.9, 10002.0]"
"[11526.0, 11542.0]"
"[11867.0, 11894.0]"
"[12146.0, 12221.0]"
"[12346.0, 12425.0]"
"[12879.0, 12970.0]"
"[13931.0, 14238.0]"
"[14451.0, 14498.0]"
"[14586.0, 14669.0]"
"[16074.0, 16265.0]"
"[16894.0, 17029.0]"
"[17413.0, 17500.0]"
"[17834.0, 18048.0]"
"[20050.0, 20184.0]"
"[21001.0, 21057.0]"
"[22721.0, 22776.0]"
"[23523.0, 23676.0]"
"[24092.0, 24136.0]"
"[24680.0, 24703.0]"
"[24936.0, 24955.0]"
"[26604.0, 26668.0]"
"[26736.0, 26820.0]"
"[27008.0, 27103.0]"
"[27264.0, 27451.0]"
"[29232.0, 29404.0]"
"[29917.0, 29992.0]"
"[30879.0, 30946.0]"
"[31423.0, 31498.0]"
"[31923.0, 31942.0]"
"[32163.0, 32194.0]"
"[32368.0, 32434.0]"
"[32763.0, 32814.0]"
"[33676.0, 33731.0]"
"[33844.0, 33871.0]"
"[34508.0, 34566.0]"
"[34687.0, 34718.0]"
"[34823.0, 34870.0]"
"[35416.0, 35447.0]"
"[35868.0, 35919.0]"
"[36811.0, 36843.0]"
"[40798.0, 40869.0]"
"[41574.0, 41590.0]"
"[42366.0, 42429.0]"
"[43078.0, 43145.0]"
""
""
""
""
""
""
""
""
""
""
""
