state1,state4,state2,state3
232220.0,226280.0,233720.0,230920.0
230220.0,225040.0,234770.0,232820.0
227660.0,225175.0,234420.0,220960.0
226795.0,223910.0,230010.0,225620.0
225310.0,224900.0,228340.0,222270.0
226370.0,225340.0,227740.0,215140.0
225930.0,222150.0,227350.0,222620.0
224330.0,224685.0,226910.0,215580.0
225210.0,221610.0,226840.0,219390.0
222970.0,219210.0,227275.0,221060.0
223960.0,221390.0,226500.0,221970.0
223680.0,221060.0,226000.0,222980.0
225240.0,222880.0,226990.0,221020.0
224630.0,224570.0,225385.0,223090.0
224580.0,221355.0,225130.0,219430.0
224500.0,223700.0,226070.0,220310.0
225635.0,224080.0,226285.0,220245.0
223080.0,225670.0,224050.0,216025.0
224700.0,222030.0,223040.0,220215.0
219240.0,223740.0,224610.0,
221540.0,221110.0,225130.0,
222330.0,225550.0,224420.0,
224760.0,224890.0,224670.0,
224140.0,226020.0,223460.0,
224270.0,225490.0,222890.0,
222745.0,225840.0,224310.0,
221525.0,,222330.0,
220820.0,,221515.0,
221470.0,,223150.0,
221560.0,,222060.0,
221755.0,,222780.0,
219500.0,,222330.0,
220660.0,,221310.0,
219520.0,,225025.0,
221410.0,,224540.0,
222340.0,,224280.0,
221900.0,,222430.0,
220790.0,,222130.0,
220930.0,,223490.0,
220570.0,,224080.0,
220510.0,,222450.0,
222770.0,,223320.0,
222870.0,,221350.0,
221485.0,,223630.0,
224580.0,,223730.0,
223540.0,,222940.0,
223310.0,,222340.0,
223905.0,,222090.0,
223140.0,,221595.0,
224240.0,,222155.0,
224820.0,,223040.0,
224310.0,,222230.0,
223700.0,,223765.0,
225050.0,,223650.0,
226810.0,,223125.0,
227355.0,,223255.0,
,,222780.0,
,,222040.0,
,,223850.0,
,,222510.0,
,,221610.0,
,,221080.0,
,,221265.0,
,,220780.0,
,,223530.0,
,,223905.0,
,,224325.0,
,,224070.0,
,,222640.0,
,,222640.0,
,,225220.0,
