state1.2
"[13.208, 1858.7]"
"[1972.1, 2358.2]"
"[2468.5, 2705.9]"
"[4277.1, 4798.6]"
"[4932.0, 5687.1]"
"[5816.1, 6721.9]"
"[6859.6, 7169.9]"
"[7243.3, 7761.6]"
"[7891.1, 8278.3]"
"[8344.0, 9781.8]"
"[9851.6, 10116.0]"
"[10216.0, 13708.0]"
"[13738.0, 15270.0]"
"[15350.0, 15833.0]"
"[15926.0, 21258.0]"
"[21338.0, 23534.0]"
"[23691.0, 23798.0]"
"[23939.0, 24102.0]"
"[24214.0, 24514.0]"
"[24930.0, 25649.0]"
"[27126.0, 27168.0]"
"[28610.0, 28674.0]"
"[28843.0, 28870.0]"
"[28995.0, 29253.0]"
"[29391.0, 31126.0]"
"[31259.0, 31614.0]"
"[32056.0, 32252.0]"
"[34649.0, 34676.0]"
"[34985.0, 35031.0]"
"[35109.0, 35272.0]"
"[39116.0, 39624.0]"
"[39757.0, 40435.0]"
"[40525.0, 40560.0]"
"[40668.0, 40687.0]"
"[40849.0, 41108.0]"
"[41181.0, 41303.0]"
"[42017.0, 42348.0]"
