state1.2
"[3924.4, 4338.5]"
"[4503.7, 4554.7]"
"[4668.0, 4774.1]"
"[4844.4, 5530.5]"
"[5627.6, 6314.3]"
"[6424.6, 6689.8]"
"[6956.3, 7633.2]"
"[7838.3, 8109.6]"
"[8331.0, 8453.4]"
"[8546.3, 8981.2]"
"[9382.5, 10162.0]"
"[10294.0, 10345.0]"
"[10434.0, 10754.0]"
"[10858.0, 11014.0]"
"[11044.0, 11319.0]"
"[11533.0, 11764.0]"
"[11904.0, 12304.0]"
"[12389.0, 12500.0]"
"[12692.0, 12723.0]"
"[12824.0, 13244.0]"
"[13356.0, 13788.0]"
"[14008.0, 14324.0]"
"[14488.0, 14612.0]"
"[14652.0, 14715.0]"
"[14812.0, 15203.0]"
"[15445.0, 16020.0]"
"[16216.0, 16451.0]"
"[16544.0, 16619.0]"
"[16789.0, 16972.0]"
"[17064.0, 17303.0]"
"[17448.0, 17743.0]"
"[17864.0, 18219.0]"
"[18254.0, 18333.0]"
"[18439.0, 18818.0]"
"[19099.0, 19657.0]"
"[19758.0, 19826.0]"
"[20162.0, 20593.0]"
"[20666.0, 21378.0]"
"[21487.0, 21822.0]"
"[21943.0, 22362.0]"
"[22514.0, 22693.0]"
"[22834.0, 23621.0]"
"[23755.0, 23857.0]"
"[23919.0, 23950.0]"
"[24054.0, 24213.0]"
"[24331.0, 24973.0]"
"[25183.0, 25491.0]"
"[25596.0, 26460.0]"
"[26576.0, 27264.0]"
"[27657.0, 27879.0]"
"[29150.0, 29662.0]"
"[29891.0, 30022.0]"
"[31114.0, 31137.0]"
"[34478.0, 34566.0]"
"[34655.0, 34994.0]"
"[35110.0, 35133.0]"
"[35218.0, 35690.0]"
"[35782.0, 35989.0]"
"[36053.0, 36724.0]"
"[36857.0, 37747.0]"
"[38004.0, 38104.0]"
"[38193.0, 38548.0]"
"[38665.0, 38687.0]"
"[38832.0, 39023.0]"
"[39117.0, 39832.0]"
"[40007.0, 40645.0]"
"[40763.0, 40990.0]"
"[41107.0, 41130.0]"
"[41289.0, 41413.0]"
"[41578.0, 41857.0]"
"[42286.0, 42465.0]"
"[43062.0, 43150.0]"
