state4.2
"[3868.3, 3898.9]"
"[4364.0, 4478.2]"
"[4580.2, 4642.5]"
"[4799.6, 4818.9]"
"[5556.0, 5602.0]"
"[6340.3, 6398.6]"
"[6715.0, 6830.5]"
"[6871.1, 6930.3]"
"[7658.7, 7812.8]"
"[8135.1, 8305.5]"
"[8478.9, 8520.8]"
"[10187.0, 10269.0]"
"[10370.0, 10409.0]"
"[10779.0, 10832.0]"
"[11344.0, 11508.0]"
"[11789.0, 11879.0]"
"[12329.0, 12364.0]"
"[12525.0, 12563.0]"
"[12748.0, 12799.0]"
"[13269.0, 13332.0]"
"[13813.0, 13983.0]"
"[14740.0, 14787.0]"
"[15228.0, 15266.0]"
"[15316.0, 15419.0]"
"[16045.0, 16191.0]"
"[16476.0, 16519.0]"
"[16644.0, 16764.0]"
"[16997.0, 17039.0]"
"[17328.0, 17423.0]"
"[17768.0, 17839.0]"
"[18358.0, 18414.0]"
"[18843.0, 19074.0]"
"[19682.0, 19733.0]"
"[19851.0, 20137.0]"
"[20618.0, 20641.0]"
"[21403.0, 21462.0]"
"[21851.0, 21918.0]"
"[22387.0, 22489.0]"
"[22718.0, 22809.0]"
"[23646.0, 23730.0]"
"[23975.0, 24029.0]"
"[24238.0, 24306.0]"
"[24998.0, 25158.0]"
"[25516.0, 25571.0]"
"[26485.0, 26551.0]"
"[29687.0, 29866.0]"
"[34591.0, 34630.0]"
"[35019.0, 35085.0]"
"[35158.0, 35193.0]"
"[35715.0, 35757.0]"
"[36749.0, 36832.0]"
"[37772.0, 37979.0]"
"[38129.0, 38168.0]"
"[38573.0, 38639.0]"
"[38712.0, 38807.0]"
"[39048.0, 39092.0]"
"[39866.0, 39982.0]"
"[40670.0, 40738.0]"
"[41015.0, 41082.0]"
"[41438.0, 41553.0]"
"[42490.0, 42610.0]"
""
""
""
""
""
""
""
""
""
""
""
