state2.2
"[302.34, 331.98]"
"[390.12, 875.86]"
"[1085.7, 1464.0]"
"[1834.3, 2168.2]"
"[2337.8, 2632.5]"
"[3507.3, 3792.9]"
"[3838.8, 4125.6]"
"[4238.8, 4541.2]"
"[4686.4, 4901.2]"
"[6146.5, 6456.0]"
"[6705.9, 6807.9]"
"[6889.6, 7064.1]"
"[7317.0, 7703.7]"
"[7925.0, 8144.4]"
"[8213.8, 8371.4]"
"[8509.5, 8595.9]"
"[8865.6, 9495.3]"
"[9670.0, 10038.0]"
"[10124.0, 10595.0]"
"[10761.0, 11119.0]"
"[11376.0, 11616.0]"
"[12068.0, 12151.0]"
"[12200.0, 12691.0]"
"[12837.0, 13192.0]"
"[14020.0, 14407.0]"
"[15317.0, 15735.0]"
"[16257.0, 16555.0]"
"[16808.0, 17291.0]"
"[17492.0, 17680.0]"
"[18600.0, 18963.0]"
"[19681.0, 19943.0]"
"[20336.0, 20556.0]"
"[20592.0, 20712.0]"
"[20949.0, 21363.0]"
"[21417.0, 21500.0]"
"[21717.0, 21908.0]"
"[22085.0, 22260.0]"
"[22308.0, 22400.0]"
"[22540.0, 22788.0]"
"[22837.0, 23028.0]"
"[23144.0, 23255.0]"
"[23432.0, 23883.0]"
"[24572.0, 24996.0]"
"[25040.0, 25200.0]"
"[25352.0, 25723.0]"
"[25821.0, 26107.0]"
"[28248.0, 29147.0]"
"[29312.0, 29651.0]"
"[29788.0, 30395.0]"
"[30489.0, 30807.0]"
"[30929.0, 31423.0]"
"[31504.0, 31559.0]"
"[32181.0, 32460.0]"
"[32524.0, 32691.0]"
"[32868.0, 33555.0]"
"[34728.0, 35030.0]"
"[35388.0, 35644.0]"
"[35700.0, 35787.0]"
"[36500.0, 36896.0]"
"[37044.0, 37539.0]"
"[37629.0, 37984.0]"
"[38089.0, 38324.0]"
"[39156.0, 39304.0]"
"[40045.0, 40808.0]"
"[42964.0, 42983.0]"
"[43149.0, 43179.0]"
