intensity,lifetime,sleep_states
2.66E+05,4.2031,2
2.63E+05,4.2016,2
2.62E+05,4.1855,2
2.64E+05,4.1815,2
2.64E+05,4.2155,2
2.65E+05,4.2228,2
2.63E+05,4.2242,2
2.64E+05,4.2285,2
2.63E+05,4.225,2
3.17E+05,4.2169,2
3.02E+05,4.1954,2
2.98E+05,4.196,2
2.96E+05,4.194,2
2.98E+05,4.1862,2
2.98E+05,4.2019,2
3.01E+05,4.2083,2
2.98E+05,4.197,2
2.97E+05,4.1982,2
2.99E+05,4.207,2
3.02E+05,4.2203,2
2.98E+05,4.2113,2
3.00E+05,4.2144,2
3.06E+05,4.1753,2
3.02E+05,4.1924,2
2.99E+05,4.1952,2
3.00E+05,4.204,2
3.00E+05,4.2136,2
4.70E+05,4.229,2
4.70E+05,4.2301,2
4.67E+05,4.2193,2
4.65E+05,4.2215,2
4.64E+05,4.2208,2
4.68E+05,4.2262,2
4.66E+05,4.2252,2
4.69E+05,4.232,2
4.65E+05,4.2333,2
4.67E+05,4.228,2
4.64E+05,4.2311,2
4.62E+05,4.2296,2
4.63E+05,4.2299,2
4.61E+05,4.2293,2
4.60E+05,4.2221,2
4.57E+05,4.2244,2
4.57E+05,4.2271,2
4.57E+05,4.2273,2
4.58E+05,4.2294,2
4.57E+05,4.2272,2
4.59E+05,4.2318,2
4.64E+05,4.2178,2
4.62E+05,4.2151,2
4.53E+05,4.2195,2
4.55E+05,4.2238,2
4.58E+05,4.2124,2
4.60E+05,4.2239,2
4.57E+05,4.2273,2
4.51E+05,4.2298,2
4.50E+05,4.237,2
4.49E+05,4.2436,2
4.49E+05,4.2487,2
4.48E+05,4.2468,2
4.50E+05,4.2492,2
4.48E+05,4.2488,2
4.48E+05,4.2497,2
4.48E+05,4.2501,2
4.50E+05,4.2554,2
4.54E+05,4.2615,2
4.50E+05,4.2573,2
4.50E+05,4.2579,2
4.51E+05,4.2563,2
4.53E+05,4.2601,2
4.50E+05,4.2562,2
4.52E+05,4.261,2
4.52E+05,4.23,2
4.52E+05,4.239,2
4.49E+05,4.2423,2
4.49E+05,4.2504,2
4.51E+05,4.256,2
4.49E+05,4.2532,2
4.49E+05,4.2549,2
4.51E+05,4.2612,2
4.48E+05,4.2522,2
4.47E+05,4.2528,2
4.47E+05,4.2537,2
4.53E+05,4.2553,2
4.44E+05,4.2201,2
4.46E+05,4.2205,2
4.46E+05,4.2299,2
1.57E+05,4.1095,2
1.57E+05,4.1118,2
1.57E+05,4.1106,2
1.56E+05,4.1123,2
1.56E+05,4.1126,2
1.56E+05,4.1157,2
1.55E+05,4.1193,2
1.55E+05,4.1177,2
1.55E+05,4.1216,2
1.55E+05,4.1246,2
1.54E+05,4.124,2
1.57E+05,4.1267,2
1.54E+05,4.1184,2
1.53E+05,4.1206,2
1.56E+05,4.1347,2
1.54E+05,4.1203,2
1.54E+05,4.1247,2
1.53E+05,4.1254,2
1.53E+05,4.1298,2
1.54E+05,4.1146,2
1.52E+05,4.1217,2
1.53E+05,4.1266,2
1.55E+05,4.1121,2
1.56E+05,4.1265,2
1.54E+05,4.1207,2
1.55E+05,4.1332,2
1.54E+05,4.1393,2
1.54E+05,4.1372,2
1.54E+05,4.135,2
1.55E+05,4.1261,2
1.55E+05,4.1232,2
1.55E+05,4.1343,2
1.56E+05,4.1431,2
1.55E+05,4.1455,2
1.57E+05,4.1415,2
1.59E+05,4.1517,2
1.55E+05,4.1387,2
1.57E+05,4.1385,2
1.55E+05,4.1378,2
1.54E+05,4.1387,2
1.56E+05,4.1388,2
1.58E+05,4.1248,2
1.56E+05,4.1358,2
1.55E+05,4.1348,2
1.54E+05,4.1342,2
1.56E+05,4.136,2
1.58E+05,4.1398,2
1.56E+05,4.142,2
1.56E+05,4.1451,2
1.57E+05,4.1437,2
1.58E+05,4.1508,2
1.58E+05,4.1521,2
1.58E+05,4.1507,2
1.58E+05,4.1537,2
1.59E+05,4.129,2
1.60E+05,4.1393,2
1.59E+05,4.1402,2
2.76E+05,4.1711,2
2.75E+05,4.1718,2
2.75E+05,4.1632,2
2.74E+05,4.1778,2
2.74E+05,4.1877,2
2.73E+05,4.1701,2
2.75E+05,4.1897,2
2.76E+05,4.2142,2
2.78E+05,4.23,2
2.79E+05,4.244,2
2.79E+05,4.2147,2
2.76E+05,4.221,2
2.78E+05,4.2265,2
2.80E+05,4.2304,2
2.80E+05,4.2309,2
2.81E+05,4.2369,2
2.80E+05,4.1832,2
2.85E+05,4.2205,2
2.87E+05,4.2479,2
2.89E+05,4.2629,2
2.85E+05,4.1975,2
2.86E+05,4.2153,2
2.85E+05,4.2322,2
2.38E+05,4.1368,2
2.38E+05,4.141,2
2.35E+05,4.1453,2
2.33E+05,4.1419,2
2.30E+05,4.1469,2
2.25E+05,4.1301,2
2.20E+05,4.1333,2
2.21E+05,4.1334,2
2.20E+05,4.1337,2
2.18E+05,4.118,2
2.22E+05,4.1247,2
2.16E+05,4.1242,2
2.18E+05,4.1265,2
2.18E+05,4.1256,2
2.17E+05,4.13,2
2.15E+05,4.1397,2
2.19E+05,4.1314,2
2.19E+05,4.1394,2
2.18E+05,4.143,2
2.21E+05,4.1479,2
2.25E+05,4.1432,2
2.30E+05,4.1474,2
2.20E+05,4.137,2
2.20E+05,4.1448,2
2.24E+05,4.1369,2
2.23E+05,4.1322,2
2.25E+05,4.1342,2
2.22E+05,4.134,2
2.24E+05,4.135,2
2.21E+05,4.1223,2
2.23E+05,4.1307,2
2.24E+05,4.1307,2
2.18E+05,4.1334,2
2.23E+05,4.1332,2
2.15E+05,4.1306,2
2.20E+05,4.1322,2
2.15E+05,4.1387,2
2.15E+05,4.1376,2
2.18E+05,4.15,2
2.21E+05,4.1472,2
2.20E+05,4.1445,2
2.21E+05,4.1531,2
2.24E+05,4.141,2
2.21E+05,4.1475,2
2.22E+05,4.1511,2
2.28E+05,4.1567,2
2.25E+05,4.1511,2
2.22E+05,4.155,2
2.22E+05,4.1559,2
2.23E+05,4.1616,2
2.24E+05,4.1616,2
2.24E+05,4.1658,2
2.26E+05,4.1411,2
2.22E+05,4.1425,2
2.23E+05,4.1521,2
2.24E+05,4.1364,2
2.25E+05,4.1435,2
2.23E+05,4.1431,2
2.24E+05,4.1374,2
2.21E+05,4.1458,2
2.21E+05,4.1496,2
2.20E+05,4.1501,2
2.33E+05,4.1528,2
2.28E+05,4.1547,2
2.26E+05,4.1453,2
2.26E+05,4.1433,2
2.63E+05,4.1816,2
2.60E+05,4.1837,2
2.60E+05,4.1628,2
2.60E+05,4.1776,2
2.63E+05,4.18,2
2.61E+05,4.1844,2
2.63E+05,4.189,2
2.62E+05,4.1917,2
2.61E+05,4.191,2
