intensity,lifetime,sleep_states
2.35E+05,4.2221,3
2.35E+05,4.2248,3
2.31E+05,4.2036,3
2.33E+05,4.2103,3
2.26E+05,4.2202,3
2.32E+05,4.212,3
2.23E+05,4.226,3
2.32E+05,4.2158,3
2.23E+05,4.2163,3
2.26E+05,4.2024,3
2.38E+05,4.2045,3
2.32E+05,4.2047,3
3.04E+05,4.2657,3
2.97E+05,4.2585,3
3.03E+05,4.2605,3
2.95E+05,4.2448,3
3.07E+05,4.2709,3
2.82E+05,4.2071,3
3.03E+05,4.2562,3
2.84E+05,4.2257,3
2.95E+05,4.2537,3
3.03E+05,4.2634,3
3.03E+05,4.2714,3
2.96E+05,4.2698,3
3.06E+05,4.2914,3
2.99E+05,4.3029,3
2.99E+05,4.2611,3
3.00E+05,4.2877,3
2.92E+05,4.2508,3
2.93E+05,4.2573,3
3.07E+05,4.2822,3
3.01E+05,4.2846,3
2.97E+05,4.2855,3
2.98E+05,4.256,3
2.84E+05,4.2397,3
3.02E+05,4.2848,3
4.70E+05,4.2595,3
4.40E+05,4.2177,3
4.44E+05,4.2313,3
4.48E+05,4.2493,3
4.65E+05,4.2647,3
4.49E+05,4.2406,3
4.48E+05,4.2473,3
4.56E+05,4.2594,3
4.40E+05,4.2441,3
4.52E+05,4.2609,3
4.54E+05,4.2486,3
4.65E+05,4.262,3
4.50E+05,4.2583,3
4.56E+05,4.269,3
4.48E+05,4.2618,3
4.37E+05,4.2401,3
4.72E+05,4.2819,3
4.44E+05,4.2493,3
4.28E+05,4.2382,3
4.41E+05,4.2405,3
4.73E+05,4.2686,3
4.62E+05,4.2621,3
4.65E+05,4.2707,3
4.51E+05,4.2609,3
4.75E+05,4.2919,3
4.40E+05,4.2513,3
4.58E+05,4.2653,3
4.53E+05,4.2756,3
4.63E+05,4.2859,3
4.48E+05,4.2344,3
4.77E+05,4.2699,3
4.75E+05,4.2826,3
4.55E+05,4.288,3
3.66E+05,4.2427,3
3.71E+05,4.2589,3
3.80E+05,4.2603,3
3.89E+05,4.2789,3
3.77E+05,4.2539,3
3.66E+05,4.2593,3
3.74E+05,4.2642,3
3.79E+05,4.2705,3
3.74E+05,4.2635,3
3.71E+05,4.2772,3
3.84E+05,4.279,3
3.67E+05,4.2651,3
3.95E+05,4.308,3
3.92E+05,4.3089,3
3.91E+05,4.2971,3
1.87E+05,4.2137,3
1.88E+05,4.2236,3
1.90E+05,4.2209,3
1.90E+05,4.2181,3
1.88E+05,4.2227,3
3.15E+05,4.2323,3
3.05E+05,4.2387,3
2.87E+05,4.207,3
2.87E+05,4.2059,3
2.89E+05,4.1907,3
2.86E+05,4.189,3
2.87E+05,4.205,3
2.91E+05,4.19,3
2.90E+05,4.1966,3
2.91E+05,4.2164,3
2.97E+05,4.2353,3
2.91E+05,4.2375,3
2.94E+05,4.2285,3
2.96E+05,4.2465,3
2.93E+05,4.2465,3
2.93E+05,4.2541,3
2.86E+05,4.2217,3
2.99E+05,4.2552,3
2.93E+05,4.2316,3
2.89E+05,4.2503,3
2.13E+05,4.2196,3
2.13E+05,4.2084,3
2.11E+05,4.2086,3
2.11E+05,4.2206,3
2.14E+05,4.217,3
2.16E+05,4.2361,3
2.13E+05,4.225,3
2.16E+05,4.2343,3
2.17E+05,4.2198,3
2.16E+05,4.2448,3
2.79E+05,4.2599,3
2.77E+05,4.2552,3
2.74E+05,4.2631,3
2.74E+05,4.2593,3
2.75E+05,4.2636,3
2.76E+05,4.2742,3
4.07E+05,4.2667,3
4.06E+05,4.2587,3
3.91E+05,4.2453,3
3.91E+05,4.256,3
3.81E+05,4.255,3
3.75E+05,4.2643,3
3.77E+05,4.2769,3
5.56E+05,4.2624,3
5.23E+05,4.2378,3
5.11E+05,4.2411,3
5.29E+05,4.266,3
5.25E+05,4.2813,3
5.24E+05,4.2535,3
5.43E+05,4.2713,3
5.28E+05,4.2765,3
5.18E+05,4.2722,3

