state4.2
"[1404.3, 1466.5]"
"[3348.0, 3482.5]"
"[4352.7, 4394.3]"
"[5876.4, 5922.4]"
"[8186.5, 8241.6]"
"[12694.0, 12777.0]"
"[15054.0, 15181.0]"
"[16583.0, 16606.0]"
"[17207.0, 17249.0]"
"[18482.0, 18750.0]"
"[19179.0, 19257.0]"
"[20650.0, 20701.0]"
"[21887.0, 21933.0]"
"[22515.0, 22629.0]"
"[24398.0, 24461.0]"
"[24518.0, 24610.0]"
"[26710.0, 26889.0]"
"[29894.0, 29929.0]"
"[30078.0, 30101.0]"
"[30262.0, 30285.0]"
"[31130.0, 31153.0]"
"[32131.0, 32169.0]"
"[35122.0, 35193.0]"
"[37747.0, 37778.0]"
"[37899.0, 38030.0]"
"[38479.0, 38621.0]"
"[39914.0, 39934.0]"
"[40910.0, 41013.0]"
""
""
""
""
""
""
""
""
""
""
""
