state1.2
"[35.065, 205.62]"
"[283.6, 1445.3]"
"[1563.6, 1606.5]"
"[1688.1, 2170.6]"
"[2235.8, 2997.9]"
"[3060.2, 3493.8]"
"[3835.1, 3853.8]"
"[3923.5, 3966.2]"
"[4120.2, 4154.5]"
"[4210.7, 4645.7]"
"[4782.9, 4842.4]"
"[4912.1, 5053.5]"
"[5162.2, 5733.5]"
"[5910.0, 6525.1]"
"[6719.0, 6837.3]"
"[7127.2, 7404.9]"
"[7491.2, 7688.9]"
"[8026.0, 8624.3]"
"[8699.1, 8733.5]"
"[8766.5, 9117.4]"
"[9334.7, 9353.1]"
"[9511.2, 9621.3]"
"[10159.0, 10201.0]"
"[10510.0, 11881.0]"
"[12010.0, 12130.0]"
"[12238.0, 13602.0]"
"[13807.0, 13834.0]"
"[13938.0, 16408.0]"
"[16521.0, 17033.0]"
"[17202.0, 20572.0]"
"[20706.0, 22752.0]"
"[22906.0, 24396.0]"
"[24485.0, 24980.0]"
"[25034.0, 25448.0]"
"[25565.0, 26244.0]"
"[26605.0, 27128.0]"
"[29474.0, 29525.0]"
"[29617.0, 32096.0]"
"[32188.0, 32564.0]"
"[32668.0, 33659.0]"
"[34185.0, 34339.0]"
"[34537.0, 34604.0]"
"[35744.0, 35788.0]"
"[37752.0, 37775.0]"
"[37892.0, 38296.0]"
"[38560.0, 40180.0]"
"[40421.0, 40459.0]"
"[40549.0, 41168.0]"
"[41199.0, 41243.0]"
"[41736.0, 41834.0]"
"[42872.0, 42911.0]"
