state1.2
"[3049.8, 3968.9]"
"[4174.0, 4516.8]"
"[4649.5, 5532.3]"
"[5858.0, 5892.3]"
"[6086.1, 6136.0]"
"[6361.0, 6626.3]"
"[7176.7, 8602.8]"
"[8700.5, 9451.2]"
"[9544.9, 11379.0]"
"[11515.0, 11855.0]"
"[12068.0, 12666.0]"
"[12840.0, 13379.0]"
"[14508.0, 14799.0]"
"[14928.0, 16224.0]"
"[16368.0, 16871.0]"
"[17228.0, 17432.0]"
"[17468.0, 19124.0]"
"[19232.0, 19967.0]"
"[20140.0, 20412.0]"
"[20544.0, 22851.0]"
"[24305.0, 24328.0]"
"[25836.0, 25967.0]"
"[26052.0, 26375.0]"
"[26508.0, 26771.0]"
"[27384.0, 27407.0]"
"[28421.0, 28467.0]"
"[30161.0, 30200.0]"
"[30313.0, 30403.0]"
"[30524.0, 30542.0]"
"[30656.0, 30996.0]"
"[31107.0, 32192.0]"
"[32440.0, 34706.0]"
"[37752.0, 37867.0]"
"[38017.0, 38959.0]"
"[39056.0, 39083.0]"
"[39213.0, 41327.0]"
"[41528.0, 41927.0]"
