state1.2
"[12.611, 909.41]"
"[1139.6, 1309.1]"
"[1826.6, 1861.0]"
"[1995.2, 2101.3]"
"[2140.5, 2639.4]"
"[2752.6, 3187.2]"
"[3424.9, 3587.5]"
"[3828.3, 3858.9]"
"[3949.1, 4250.9]"
"[4507.8, 5287.0]"
"[5372.4, 5707.4]"
"[5742.4, 7480.0]"
"[7713.5, 8256.3]"
"[8541.4, 8887.8]"
"[9056.5, 9176.1]"
"[9269.7, 9312.3]"
"[9349.5, 9500.4]"
"[9601.4, 10517.0]"
"[10882.0, 12225.0]"
"[12534.0, 12668.0]"
"[12773.0, 12920.0]"
"[13366.0, 15561.0]"
"[15823.0, 17238.0]"
"[17463.0, 18498.0]"
"[18656.0, 19351.0]"
"[19495.0, 19654.0]"
"[19844.0, 21343.0]"
"[21476.0, 22192.0]"
"[22428.0, 23003.0]"
"[23109.0, 25151.0]"
"[25408.0, 25784.0]"
"[25865.0, 26083.0]"
"[26240.0, 27236.0]"
"[34575.0, 34606.0]"
"[36496.0, 36531.0]"
"[36888.0, 37174.0]"
"[37431.0, 37462.0]"
"[37643.0, 37679.0]"
"[38116.0, 38147.0]"
"[38540.0, 38623.0]"
"[38844.0, 39207.0]"
"[39377.0, 39604.0]"
"[39696.0, 39740.0]"
"[40097.0, 41456.0]"
"[41580.0, 41751.0]"
"[41789.0, 42312.0]"
"[42441.0, 42560.0]"
"[42849.0, 42900.0]"
