state4.2
"[935.41, 1113.6]"
"[1886.0, 1969.2]"
"[2664.9, 2727.1]"
"[3212.7, 3399.4]"
"[3613.0, 3802.8]"
"[3884.5, 3923.5]"
"[4276.9, 4482.8]"
"[5313.0, 5347.3]"
"[7505.7, 7687.6]"
"[8282.3, 8516.4]"
"[8913.8, 9031.5]"
"[9202.1, 9243.7]"
"[9525.9, 9575.9]"
"[10542.0, 10857.0]"
"[12250.0, 12509.0]"
"[12693.0, 12748.0]"
"[12979.0, 13341.0]"
"[15586.0, 15798.0]"
"[17263.0, 17438.0]"
"[18523.0, 18631.0]"
"[19376.0, 19470.0]"
"[19679.0, 19819.0]"
"[21368.0, 21451.0]"
"[22217.0, 22403.0]"
"[23028.0, 23084.0]"
"[25176.0, 25383.0]"
"[25809.0, 25840.0]"
"[26108.0, 26215.0]"
"[27261.0, 34560.0]"
"[38761.0, 38819.0]"
"[39948.0, 40072.0]"
"[41481.0, 41555.0]"
"[42337.0, 42416.0]"
"[42585.0, 42824.0]"
"[42926.0, 43187.0]"
""
""
""
""
""
""
""
""
""
""
""
""
""
