state2.2
"[12.606, 89.566]"
"[294.61, 841.54]"
"[2410.6, 3056.6]"
"[3810.0, 4020.0]"
"[4173.0, 4967.6]"
"[5753.8, 6231.9]"
"[6290.1, 6403.5]"
"[6500.3, 7005.0]"
"[7229.9, 7600.5]"
"[9096.8, 9567.2]"
"[10105.0, 10143.0]"
"[10193.0, 10880.0]"
"[11704.0, 12056.0]"
"[12248.0, 12803.0]"
"[12928.0, 12956.0]"
"[14887.0, 15211.0]"
"[15267.0, 15346.0]"
"[15447.0, 15822.0]"
"[15875.0, 15998.0]"
"[16047.0, 16146.0]"
"[16292.0, 16486.0]"
"[17404.0, 17746.0]"
"[20674.0, 21342.0]"
"[21419.0, 21585.0]"
"[24254.0, 24492.0]"
"[24550.0, 24965.0]"
"[30598.0, 30898.0]"
"[31895.0, 32694.0]"
"[32851.0, 33665.0]"
"[37647.0, 38053.0]"
"[38117.0, 38613.0]"
"[38787.0, 39061.0]"
"[39118.0, 39438.0]"
"[39493.0, 39621.0]"
"[39674.0, 39833.0]"
"[39890.0, 39933.0]"
"[41557.0, 41940.0]"
"[41981.0, 42180.0]"
"[42285.0, 42620.0]"
"[42681.0, 43020.0]"
"[43133.0, 43187.0]"
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
