state2.2
"[776.56, 1038.6]"
"[1459.9, 1714.8]"
"[2195.5, 2363.4]"
"[6172.7, 6763.6]"
"[7396.5, 7735.2]"
"[8493.3, 8858.5]"
"[9344.5, 9822.7]"
"[10337.0, 10568.0]"
"[10924.0, 11379.0]"
"[11668.0, 12059.0]"
"[12405.0, 12675.0]"
"[13055.0, 13081.0]"
"[13179.0, 13454.0]"
"[13499.0, 13606.0]"
"[13695.0, 13910.0]"
"[14187.0, 14393.0]"
"[14506.0, 14641.0]"
"[14783.0, 15085.0]"
"[15158.0, 15284.0]"
"[16586.0, 17001.0]"
"[17130.0, 17353.0]"
"[17494.0, 17749.0]"
"[19383.0, 19692.0]"
"[20050.0, 20728.0]"
"[22160.0, 22728.0]"
"[22788.0, 23083.0]"
"[23169.0, 23288.0]"
"[23453.0, 23728.0]"
"[23964.0, 24303.0]"
"[24597.0, 24828.0]"
"[26036.0, 26488.0]"
"[26593.0, 26944.0]"
"[27088.0, 27624.0]"
"[27849.0, 28032.0]"
"[28120.0, 28432.0]"
"[28705.0, 28788.0]"
"[28848.0, 29051.0]"
"[29632.0, 30040.0]"
"[30156.0, 30571.0]"
"[30777.0, 31434.0]"
"[31715.0, 32029.0]"
"[33826.0, 33937.0]"
"[34003.0, 34686.0]"
"[34823.0, 35285.0]"
"[35386.0, 35621.0]"
"[35750.0, 36361.0]"
"[36459.0, 36770.0]"
"[36823.0, 36894.0]"
"[36967.0, 37053.0]"
"[37110.0, 37217.0]"
"[37474.0, 37929.0]"
"[37998.0, 38070.0]"
"[38166.0, 38508.0]"
"[38684.0, 38840.0]"
"[40545.0, 41131.0]"
"[41224.0, 41620.0]"
"[41772.0, 42283.0]"
""
""
""
""
""
""
""
