state4
4.1273
4.14195
4.1149
4.127
4.11845
4.1231
4.1223
4.1112
4.1287
4.1268
4.1176
4.13145
4.1282
4.11975
4.1174
4.1276
4.1204
4.1137
4.1077
4.1167
4.10455
4.1438
4.127
4.11515
4.1347000000000005
4.13555
4.1418
4.1305
4.1492
4.175
4.1355
4.1149
4.1214
4.19015
4.1930499999999995
""
""
""
""
""
""
""
""
""
""
""
""
""
