state2.2
"[55.906, 658.57]"
"[739.93, 982.24]"
"[1216.8, 1662.2]"
"[2621.3, 3439.3]"
"[3592.4, 3762.8]"
"[3872.9, 3983.5]"
"[5820.1, 6391.4]"
"[6456.7, 6762.7]"
"[6896.3, 7159.5]"
"[8743.7, 9335.4]"
"[9784.3, 10283.0]"
"[10621.0, 10908.0]"
"[10972.0, 11275.0]"
"[11412.0, 11896.0]"
"[11983.0, 12063.0]"
"[12120.0, 12260.0]"
"[13465.0, 13875.0]"
"[14033.0, 14371.0]"
"[14448.0, 14744.0]"
"[15304.0, 15927.0]"
"[16056.0, 16367.0]"
"[16533.0, 16871.0]"
"[17021.0, 17331.0]"
"[17737.0, 18167.0]"
"[19317.0, 19635.0]"
"[20804.0, 21127.0]"
"[21560.0, 22414.0]"
"[22668.0, 23083.0]"
"[23329.0, 23973.0]"
"[24114.0, 24221.0]"
"[24287.0, 24454.0]"
"[24602.0, 24849.0]"
"[24995.0, 25274.0]"
"[25326.0, 25461.0]"
"[27658.0, 27897.0]"
"[27943.0, 28341.0]"
"[28391.0, 28593.0]"
"[28718.0, 28854.0]"
"[29323.0, 29673.0]"
"[29802.0, 29881.0]"
"[30182.0, 30449.0]"
"[30711.0, 31026.0]"
"[31132.0, 31439.0]"
"[31628.0, 32139.0]"
"[32232.0, 32567.0]"
"[32656.0, 32759.0]"
"[32828.0, 33099.0]"
"[33595.0, 34083.0]"
"[34268.0, 34685.0]"
"[34730.0, 34793.0]"
"[34983.0, 35357.0]"
"[37058.0, 37538.0]"
"[39330.0, 39553.0]"
"[39662.0, 39833.0]"
"[39947.0, 40174.0]"
"[40406.0, 40726.0]"
"[40798.0, 40849.0]"
"[41263.0, 41626.0]"
"[41718.0, 42061.0]"
"[42103.0, 42238.0]"
"[42390.0, 42653.0]"
"[42698.0, 42794.0]"
"[42959.0, 43188.0]"
