state1.2
"[12.72, 59.639]"
"[780.94, 1135.3]"
"[1304.7, 1531.6]"
"[1665.4, 2399.5]"
"[2501.5, 3063.4]"
"[3206.3, 3376.7]"
"[4034.8, 4076.6]"
"[4210.3, 4336.8]"
"[4618.3, 4676.8]"
"[6207.3, 6561.1]"
"[6685.9, 7097.0]"
"[7538.7, 7613.2]"
"[8202.9, 8305.2]"
"[8386.8, 8449.2]"
"[8526.8, 8648.5]"
"[9443.1, 9920.6]"
"[10295.0, 10599.0]"
"[10976.0, 10999.0]"
"[11297.0, 11368.0]"
"[12257.0, 12275.0]"
"[12425.0, 12443.0]"
"[12689.0, 12716.0]"
"[12852.0, 13000.0]"
"[13665.0, 13744.0]"
"[13808.0, 13852.0]"
"[14223.0, 14332.0]"
"[14836.0, 15215.0]"
"[15372.0, 15831.0]"
"[15988.0, 16127.0]"
"[16232.0, 16296.0]"
"[16393.0, 16595.0]"
"[17216.0, 17335.0]"
"[17477.0, 17584.0]"
"[18213.0, 18615.0]"
"[18761.0, 19155.0]"
"[19324.0, 19431.0]"
"[20024.0, 20060.0]"
"[20341.0, 21759.0]"
"[21857.0, 22588.0]"
"[22841.0, 23524.0]"
"[23913.0, 24244.0]"
"[24384.0, 25132.0]"
"[25297.0, 25355.0]"
"[25609.0, 25859.0]"
"[25977.0, 26100.0]"
"[26516.0, 26555.0]"
"[27040.0, 27091.0]"
"[27760.0, 27800.0]"
"[28144.0, 28171.0]"
"[29404.0, 29423.0]"
"[30284.0, 30348.0]"
"[30460.0, 30783.0]"
"[30921.0, 31096.0]"
"[31220.0, 31451.0]"
"[31964.0, 32004.0]"
"[32704.0, 32935.0]"
"[33165.0, 33335.0]"
"[33448.0, 33480.0]"
"[34297.0, 34728.0]"
"[35424.0, 35895.0]"
"[36025.0, 36171.0]"
"[36485.0, 36531.0]"
"[36656.0, 36815.0]"
"[36964.0, 37444.0]"
"[37684.0, 37704.0]"
"[37980.0, 37996.0]"
"[38149.0, 38391.0]"
"[38472.0, 38503.0]"
"[40255.0, 40391.0]"
"[40852.0, 40999.0]"
"[41125.0, 41543.0]"
