state4.2
"[1160.8, 1279.2]"
"[1557.4, 1639.4]"
"[2424.5, 2475.5]"
"[3089.4, 3171.5]"
"[4102.1, 4184.8]"
"[5925.5, 6181.3]"
"[6587.1, 6660.9]"
"[8102.9, 8177.4]"
"[8330.7, 8361.3]"
"[8474.7, 8501.3]"
"[9246.5, 9417.1]"
"[10234.0, 10270.0]"
"[12089.0, 12231.0]"
"[12365.0, 12400.0]"
"[12741.0, 12827.0]"
"[14697.0, 14811.0]"
"[15240.0, 15347.0]"
"[15856.0, 15962.0]"
"[16152.0, 16207.0]"
"[16321.0, 16368.0]"
"[17076.0, 17191.0]"
"[17360.0, 17452.0]"
"[18049.0, 18188.0]"
"[18640.0, 18736.0]"
"[19180.0, 19299.0]"
"[20085.0, 20316.0]"
"[21784.0, 21832.0]"
"[22613.0, 22680.0]"
"[22737.0, 22816.0]"
"[23549.0, 23723.0]"
"[23777.0, 23888.0]"
"[24269.0, 24359.0]"
"[25157.0, 25272.0]"
"[25380.0, 25584.0]"
"[25884.0, 25952.0]"
"[26349.0, 26491.0]"
"[30209.0, 30259.0]"
"[30373.0, 30435.0]"
"[30808.0, 30896.0]"
"[31121.0, 31195.0]"
"[32960.0, 33140.0]"
"[33360.0, 33423.0]"
"[34189.0, 34271.0]"
"[34753.0, 34839.0]"
"[35213.0, 35398.0]"
"[35920.0, 36000.0]"
"[36556.0, 36631.0]"
"[36840.0, 36939.0]"
"[38021.0, 38124.0]"
"[38416.0, 38447.0]"
"[40103.0, 40231.0]"
"[40656.0, 40827.0]"
"[41024.0, 41100.0]"
"[42748.0, 42791.0]"
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
