state4.2
"[1814.1, 1887.8]"
"[3590.0, 3645.1]"
"[3874.8, 3968.6]"
"[4410.4, 4493.0]"
"[6477.4, 6512.8]"
"[6693.8, 6840.5]"
"[6931.0, 6952.8]"
"[7395.2, 7517.6]"
"[8143.0, 8161.3]"
"[8710.6, 8853.5]"
"[8990.7, 9049.4]"
"[9249.8, 9405.0]"
"[9715.1, 9756.7]"
"[10118.0, 10230.0]"
"[10951.0, 11054.0]"
"[11262.0, 11322.0]"
"[12707.0, 12738.0]"
"[13258.0, 13322.0]"
"[13618.0, 13645.0]"
"[14426.0, 14518.0]"
"[14762.0, 14830.0]"
"[15282.0, 15309.0]"
"[15378.0, 15426.0]"
"[16099.0, 16173.0]"
"[16682.0, 16798.0]"
"[17146.0, 17173.0]"
"[17474.0, 17601.0]"
"[17814.0, 18016.0]"
"[18579.0, 18639.0]"
"[18712.0, 18803.0]"
"[19739.0, 20027.0]"
"[20564.0, 20647.0]"
"[20965.0, 21055.0]"
"[22760.0, 22904.0]"
"[24289.0, 24563.0]"
"[26536.0, 26576.0]"
"[27244.0, 27295.0]"
"[28001.0, 28020.0]"
"[28296.0, 28319.0]"
"[28620.0, 28695.0]"
"[28972.0, 29044.0]"
"[29421.0, 29475.0]"
"[29512.0, 29571.0]"
"[29708.0, 29731.0]"
"[31084.0, 31171.0]"
"[32565.0, 32627.0]"
"[33329.0, 33375.0]"
"[33596.0, 33700.0]"
"[37817.0, 37995.0]"
"[38469.0, 38548.0]"
"[38705.0, 38767.0]"
"[39093.0, 39351.0]"
"[40316.0, 40479.0]"
"[40528.0, 41059.0]"
"[41520.0, 41599.0]"
"[41856.0, 41971.0]"
"[42069.0, 42187.0]"
"[42440.0, 42716.0]"
""
""
""
""
""
""
