state4.2
"[910.9, 985.36]"
"[1582.2, 1616.9]"
"[1778.0, 1952.8]"
"[2038.6, 2144.9]"
"[2230.9, 2257.5]"
"[3081.6, 3412.5]"
"[3666.4, 3689.3]"
"[4045.5, 4147.5]"
"[5229.8, 5396.1]"
"[7632.9, 7748.1]"
"[8301.0, 8347.9]"
"[8657.0, 8719.3]"
"[9592.9, 9787.2]"
"[11016.0, 11205.0]"
"[11236.0, 11259.0]"
"[11417.0, 11487.0]"
"[13033.0, 13299.0]"
"[13708.0, 13856.0]"
"[14005.0, 14079.0]"
"[14152.0, 14299.0]"
"[14421.0, 14603.0]"
"[14716.0, 14752.0]"
"[16551.0, 16714.0]"
"[16824.0, 16906.0]"
"[17271.0, 17379.0]"
"[18039.0, 18282.0]"
"[19206.0, 19314.0]"
"[20402.0, 20453.0]"
"[21367.0, 21394.0]"
"[21658.0, 21845.0]"
"[22606.0, 22709.0]"
"[22810.0, 23009.0]"
"[23778.0, 23945.0]"
"[24086.0, 24137.0]"
"[25121.0, 25260.0]"
"[25418.0, 25441.0]"
"[25550.0, 25678.0]"
"[26063.0, 26086.0]"
"[26655.0, 26763.0]"
"[27692.0, 27723.0]"
"[27776.0, 27935.0]"
"[28948.0, 29215.0]"
"[29247.0, 29269.0]"
"[29527.0, 29554.0]"
"[29767.0, 29910.0]"
"[30347.0, 30470.0]"
"[30923.0, 30966.0]"
"[31739.0, 31814.0]"
"[33790.0, 33818.0]"
"[33878.0, 33929.0]"
"[34006.0, 34030.0]"
"[36267.0, 36357.0]"
"[36758.0, 36822.0]"
"[37134.0, 37365.0]"
"[40005.0, 40360.0]"
"[41045.0, 41084.0]"
""
""
""
