Time Speed (cm/s),Speed (cm/s),Time Running Definition,Running Definition
0.0,13.3594,0.0,0.0
0.25,13.730450000000001,0.25,0.0
0.5,14.10155,0.5,0.0
0.75,11.450871428571428,0.75,0.0
1.0,7.05075,1.0,0.0
1.25,-0.7422,1.25,0.0
1.5,-1.4843833333333334,1.5,0.0
1.75,8.906242857142857,1.75,0.0
2.0,8.906233333333333,2.0,0.0
2.25,12.988266666666666,2.25,0.0
2.5,12.617166666666666,2.5,0.0
2.75,14.949757142857143,2.75,0.0
3.0,15.585933333333333,3.0,0.0
3.25,14.472650000000002,3.25,0.0
3.5,12.2461,3.5,0.0
3.75,6.043528571428571,3.75,0.0
4.0,4.453133333333334,4.0,0.0
4.25,9.277333333333333,4.25,0.0
4.5,14.10155,4.5,0.0
4.75,14.313614285714285,4.75,0.0
5.0,14.10155,5.0,0.0
5.25,11.5039,5.25,0.0
5.5,6.3086,5.5,0.0
5.75,9.5424,5.75,0.0
6.0,10.0195,6.0,0.0
6.25,12.988266666666668,6.25,0.0
6.5,7.42185,6.5,0.0
6.75,12.087042857142857,6.75,0.0
7.0,8.53515,7.0,0.0
7.25,14.101566666666667,7.25,0.0
7.5,14.47265,7.5,0.0
7.75,7.952014285714286,7.75,0.0
8.0,-0.3711,8.0,0.0
8.25,0.0,8.25,0.0
8.5,-0.7422,8.5,0.0
8.75,-0.6361714285714285,8.75,0.0
9.0,0.0,9.0,0.0
9.25,4.453133333333334,9.25,0.0
9.5,15.585916666666668,9.5,0.0
9.75,14.949757142857143,9.75,0.0
10.0,6.308583333333333,10.0,0.0
10.25,0.0,10.25,0.0
10.5,0.0,10.5,0.0
10.75,0.0,10.75,0.0
11.0,-1.6666666666627823e-05,11.0,0.0
11.25,12.988283333333333,11.25,0.0
11.5,14.47265,11.5,0.0
11.75,13.677442857142857,11.75,0.0
12.0,14.10155,12.0,0.0
12.25,12.988266666666666,12.25,0.0
12.5,10.390616666666666,12.5,0.0
12.75,13.995542857142858,12.75,0.0
13.0,10.019516666666666,13.0,0.0
13.25,10.761716666666667,13.25,0.0
13.5,12.617183333333333,13.5,0.0
13.75,11.450871428571428,13.75,0.0
14.0,12.988266666666666,14.0,0.0
14.25,10.390633333333334,14.25,0.0
14.5,14.10155,14.5,0.0
14.75,12.723214285714286,14.75,0.0
15.0,3.710916666666667,15.0,0.0
15.25,11.503883333333334,15.25,0.0
15.5,3.710916666666667,15.5,0.0
15.75,0.0,15.75,0.0
16.0,0.7422,16.0,0.0
16.25,0.0,16.25,0.0
16.5,0.0,16.5,0.0
16.75,2.5446285714285715,16.75,0.0
17.0,15.214833333333333,17.0,0.0
17.25,12.617166666666666,17.25,0.0
17.5,9.277333333333333,17.5,0.0
17.75,14.631685714285714,17.75,0.0
18.0,10.390616666666666,18.0,0.0
18.25,11.874966666666667,18.25,0.0
18.5,13.35935,18.5,0.0
18.75,1.9084714285714288,18.75,0.0
19.0,1.8554833333333334,19.0,0.0
19.25,0.0,19.25,0.0
19.5,2.96875,19.5,0.0
19.75,13.677442857142857,19.75,0.0
20.0,15.585933333333333,20.0,0.0
20.25,15.957016666666668,20.25,0.0
20.5,13.359366666666666,20.5,0.0
20.75,16.540185714285716,20.75,0.0
21.0,14.101566666666667,21.0,0.0
21.25,12.6172,21.25,0.0
21.5,10.390616666666666,21.5,0.0
21.75,0.31808571428571425,21.75,0.0
22.0,0.0,22.0,0.0
22.25,0.0,22.25,0.0
22.5,0.0,22.5,0.0
22.75,0.0,22.75,0.0
23.0,0.0,23.0,0.0
23.25,0.3711,23.25,0.0
23.5,0.0,23.5,0.0
23.75,0.0,23.75,0.0
24.0,0.0,24.0,0.0
24.25,0.0,24.25,0.0
24.5,0.0,24.5,0.0
24.75,0.0,24.75,0.0
25.0,0.0,25.0,0.0
25.25,0.0,25.25,0.0
25.5,0.0,25.5,0.0
25.75,0.0,25.75,0.0
26.0,0.0,26.0,0.0
26.25,-1.8554666666666666,26.25,0.0
26.5,2.96875,26.5,0.0
26.75,13.677442857142857,26.75,0.0
27.0,14.843733333333335,27.0,0.0
27.25,2.9687666666666668,27.25,0.0
27.5,16.328133333333334,27.5,0.0
27.75,12.087042857142857,27.75,0.0
28.0,14.10155,28.0,0.0
28.25,5.9375,28.25,0.0
28.5,6.679683333333333,28.5,0.0
28.75,14.631685714285714,28.75,0.0
29.0,12.9883,29.0,0.0
