Time Speed (cm/s),Speed (cm/s),Time Running Definition,Running Definition
0.0,0.0,0.0,0.0
0.25,0.0,0.25,0.0
0.5,0.0,0.5,0.0
0.75,0.0,0.75,0.0
1.0,0.0,1.0,0.0
1.25,0.0,1.25,0.0
1.5,0.0,1.5,0.0
1.75,0.0,1.75,0.0
2.0,0.0,2.0,0.0
2.25,0.0,2.25,0.0
2.5,0.0,2.5,0.0
2.75,-0.7422,2.75,0.0
3.0,0.3711,3.0,0.0
3.25,6.679671428571429,3.25,0.0
3.5,7.42185,3.5,0.0
3.75,4.082033333333333,3.75,0.0
4.0,-1.4843833333333334,4.0,0.0
4.25,2.8627285714285717,4.25,0.0
4.5,5.566416666666667,4.5,0.0
4.75,-1.4844,4.75,0.0
5.0,14.47265,5.0,0.0
5.25,15.267857142857144,5.25,0.0
5.5,15.214833333333335,5.5,0.0
5.75,14.101566666666667,5.75,0.0
6.0,16.328133333333334,6.0,0.0
6.25,14.313600000000001,6.25,0.0
6.5,11.875,6.5,0.0
6.75,17.070316666666667,6.75,0.0
7.0,10.019533333333333,7.0,0.0
7.25,15.214866666666667,7.25,0.0
7.5,14.949785714285715,7.5,0.0
7.75,5.9375,7.75,0.0
8.0,8.535133333333334,8.0,0.0
8.25,1.9084857142857143,8.25,0.0
8.5,10.761700000000001,8.5,0.0
8.75,7.421866666666666,8.75,0.0
9.0,13.359366666666666,9.0,0.0
9.25,9.224314285714286,9.25,0.0
9.5,14.47265,9.5,0.0
9.75,7.401486830834377e-17,9.75,0.0
10.0,-2.59765,10.0,0.0
10.25,1.5904,10.25,0.0
10.5,9.648416666666666,10.5,0.0
10.75,12.988266666666668,10.75,0.0
11.0,8.90625,11.0,0.0
11.25,13.359366666666666,11.25,0.0
11.5,10.496657142857144,11.5,0.0
11.75,6.679666666666667,11.75,0.0
12.0,-0.3711,12.0,0.0
12.25,0.0,12.25,0.0
12.5,2.226583333333333,12.5,0.0
12.75,7.05075,12.75,0.0
13.0,7.792933333333334,13.0,0.0
13.25,3.8169857142857144,13.25,0.0
13.5,7.050766666666667,13.5,0.0
13.75,1.8554666666666668,13.75,0.0
14.0,0.0,14.0,0.0
14.25,0.0,14.25,0.0
14.5,0.0,14.5,0.0
14.75,0.0,14.75,0.0
15.0,0.0,15.0,0.0
