,"Low Photon","High Photon"
0.048828125,13.00000000000,30.000000000000
0.097656250,17.00000000000,34.000000000000
0.146484375,15.00000000000,40.000000000000
0.195312500,15.00000000000,23.000000000000
0.244140625,6.00000000000,34.000000000000
0.292968750,10.00000000000,24.000000000000
0.341796875,9.00000000000,31.000000000000
0.390625000,10.00000000000,28.000000000000
0.439453125,7.00000000000,43.000000000000
0.488281250,11.00000000000,24.000000000000
0.537109375,11.00000000000,39.000000000000
0.585937500,19.00000000000,33.000000000000
0.634765625,17.00000000000,36.000000000000
0.683593750,21.00000000000,63.000000000000
0.732421875,29.00000000000,94.000000000000
0.781250000,77.00000000000,163.000000000000
0.830078125,95.00000000000,312.000000000000
0.878906250,161.00000000000,470.000000000000
0.927734375,234.00000000000,693.000000000000
0.976562500,321.00000000000,904.000000000000
1.025390625,378.00000000000,1098.000000000000
1.074218750,414.00000000000,1346.000000000000
1.123046875,494.00000000000,1442.000000000000
1.171875000,563.00000000000,1494.000000000000
1.220703125,497.00000000000,1651.000000000000
1.269531250,551.00000000000,1594.000000000000
1.318359375,564.00000000000,1709.000000000000
1.367187500,549.00000000000,1692.000000000000
1.416015625,595.00000000000,1674.000000000000
1.464843750,547.00000000000,1613.000000000000
1.513671875,615.00000000000,1663.000000000000
1.562500000,583.00000000000,1564.000000000000
1.611328125,507.00000000000,1545.000000000000
1.660156250,493.00000000000,1470.000000000000
1.708984375,520.00000000000,1437.000000000000
1.757812500,520.00000000000,1493.000000000000
1.806640625,493.00000000000,1432.000000000000
1.855468750,484.00000000000,1354.000000000000
1.904296875,484.00000000000,1359.000000000000
1.953125000,476.00000000000,1379.000000000000
2.001953125,452.00000000000,1336.000000000000
2.050781250,461.00000000000,1207.000000000000
2.099609375,443.00000000000,1267.000000000000
2.148437500,433.00000000000,1322.000000000000
2.197265625,432.00000000000,1216.000000000000
2.246093750,419.00000000000,1274.000000000000
2.294921875,401.00000000000,1210.000000000000
2.343750000,409.00000000000,1165.000000000000
2.392578125,406.00000000000,1112.000000000000
2.441406250,408.00000000000,1117.000000000000
2.490234375,392.00000000000,1087.000000000000
2.539062500,357.00000000000,1101.000000000000
2.587890625,361.00000000000,1158.000000000000
2.636718750,375.00000000000,1056.000000000000
2.685546875,369.00000000000,1048.000000000000
2.734375000,341.00000000000,1037.000000000000
2.783203125,365.00000000000,1076.000000000000
2.832031250,317.00000000000,1024.000000000000
2.880859375,332.00000000000,999.000000000000
2.929687500,300.00000000000,972.000000000000
2.978515625,313.00000000000,947.000000000000
3.027343750,345.00000000000,967.000000000000
3.076171875,340.00000000000,899.000000000000
3.125000000,349.00000000000,963.000000000000
3.173828125,303.00000000000,910.000000000000
3.222656250,337.00000000000,846.000000000000
3.271484375,326.00000000000,854.000000000000
3.320312500,285.00000000000,867.000000000000
3.369140625,296.00000000000,891.000000000000
3.417968750,266.00000000000,849.000000000000
3.466796875,287.00000000000,817.000000000000
3.515625000,281.00000000000,871.000000000000
3.564453125,294.00000000000,791.000000000000
3.613281250,256.00000000000,795.000000000000
3.662109375,287.00000000000,760.000000000000
3.710937500,258.00000000000,802.000000000000
3.759765625,244.00000000000,677.000000000000
3.808593750,267.00000000000,744.000000000000
3.857421875,234.00000000000,729.000000000000
3.906250000,251.00000000000,725.000000000000
3.955078125,253.00000000000,680.000000000000
4.003906250,231.00000000000,671.000000000000
4.052734375,247.00000000000,706.000000000000
4.101562500,211.00000000000,659.000000000000
4.150390625,229.00000000000,685.000000000000
4.199218750,228.00000000000,615.000000000000
4.248046875,238.00000000000,599.000000000000
4.296875000,219.00000000000,637.000000000000
4.345703125,219.00000000000,608.000000000000
4.394531250,178.00000000000,586.000000000000
4.443359375,198.00000000000,621.000000000000
4.492187500,164.00000000000,606.000000000000
4.541015625,204.00000000000,583.000000000000
4.589843750,177.00000000000,574.000000000000
4.638671875,203.00000000000,551.000000000000
4.687500000,199.00000000000,531.000000000000
4.736328125,193.00000000000,510.000000000000
4.785156250,210.00000000000,544.000000000000
4.833984375,181.00000000000,512.000000000000
4.882812500,177.00000000000,553.000000000000
4.931640625,163.00000000000,490.000000000000
4.980468750,178.00000000000,530.000000000000
5.029296875,174.00000000000,478.000000000000
5.078125000,159.00000000000,434.000000000000
5.126953125,178.00000000000,474.000000000000
5.175781250,155.00000000000,480.000000000000
5.224609375,187.00000000000,478.000000000000
5.273437500,139.00000000000,432.000000000000
5.322265625,154.00000000000,453.000000000000
5.371093750,127.00000000000,467.000000000000
5.419921875,116.00000000000,443.000000000000
5.468750000,155.00000000000,424.000000000000
5.517578125,159.00000000000,455.000000000000
5.566406250,133.00000000000,393.000000000000
5.615234375,150.00000000000,397.000000000000
5.664062500,137.00000000000,431.000000000000
5.712890625,140.00000000000,401.000000000000
5.761718750,107.00000000000,360.000000000000
5.810546875,134.00000000000,391.000000000000
5.859375000,126.00000000000,369.000000000000
5.908203125,125.00000000000,342.000000000000
5.957031250,119.00000000000,386.000000000000
6.005859375,119.00000000000,354.000000000000
6.054687500,112.00000000000,390.000000000000
6.103515625,119.00000000000,330.000000000000
6.152343750,99.00000000000,300.000000000000
6.201171875,109.00000000000,341.000000000000
6.250000000,97.00000000000,297.000000000000
6.298828125,110.00000000000,280.000000000000
6.347656250,88.00000000000,298.000000000000
6.396484375,92.00000000000,295.000000000000
6.445312500,94.00000000000,309.000000000000
6.494140625,99.00000000000,306.000000000000
6.542968750,105.00000000000,263.000000000000
6.591796875,112.00000000000,274.000000000000
6.640625000,106.00000000000,302.000000000000
6.689453125,105.00000000000,261.000000000000
