,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running
High,4.18046708971297,4.18227102308991,4.18422598860103,4.18697555094789,4.18991385500553,4.19371771722840,4.19158375246717,4.19044778384877,4.19601241531301,4.19342338201679,4.19086582074747,4.19645255797488,4.19618654334755,4.19845522477789,4.20626965139158,4.20259789212564,4.19537014502576,4.19422333359904,4.20459396632657,4.20330641902225,4.20236564580365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24072917448557,4.24091278398445,4.24480085436269,4.24897677716559,4.25006911491485,4.25451125522909,4.26069430514081,4.26086421348564,4.25384440511429,4.25201767227872,4.25869296535157,4.25018318883716,4.25490848890694,4.26767090187424,4.26445774441652,4.26220963120975,4.26317513049853,4.25977191063170,4.25217403985341,4.25115277879385,4.25300191274982,4.25474658521167,4.25905230603218,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low,4.19691767433982,4.19416190516184,4.19302333191302,4.19745505305257,4.20209011356813,4.20174493283487,4.19722060730599,4.19510470700269,4.19633239568710,4.19822056427037,4.20035720723514,4.19853548166441,4.19784274844601,4.19630290870266,4.19069609371983,4.19816698172799,4.20752944766569,4.20261728721398,4.19739064286396,4.19273646937984,4.20019262422402,4.19411407981022,4.20910076390148,4.20845611961042,4.20926340647113,4.20359797583450,4.20548635764372,4.19896577204179,4.20469598820612,4.20740756410730,4.20499221013483,4.20401569206303,4.20498080093454,4.20083025480851,4.20785547763047,4.20232636047347,4.19677323452570,4.20373018934574,,,,,,,,,,,,,4.25391793867060,4.25828513658457,4.27122980415347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
