,Baseline,ACh
"Removed due to invalid cell",,
"Removed due to invalid cell",,
,0.03078463252188,0.13182333040024
,0.04329302352744,0.08355439435755
,0.03286430081394,0.10478030434673
,0.03846261835728,0.10832690190135
,0.03371820406653,0.14045830778619
,0.02982242450459,0.12294585827497
,0.03562151655733,0.15359117846588
,0.04709257801261,0.16611827440446
,0.03558989038842,0.15596788825819
,0.04131306177804,0.10008698271074
,0.03657076125537,0.16234258419754
,0.04160285848133,0.16598355541096
,0.02797662075365,0.14279245125388
,0.05041689953219,0.11734071146147
,0.07756329200029,0.14116050349068
,0.05601023221970,0.12249860105479
,0.07559091919994,0.14270553634450
,0.06662540015182,0.13292484725635
,0.04808106520845,0.12447636043545
,0.08503364041082,0.14767554025236
,0.05826005418363,0.16574561604918
,0.05942430633788,0.19603507331582
,0.04773610334602,0.20673771112525
,0.01677257505254,0.09970525386840
,0.05152629160960,0.13871129356705
,0.04989340472844,0.13784120340019
,0.08545864180875,0.17980744952834
