,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Resting,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running
1,4.45044500000000,4.42158500000000,4.50007500000000,4.48207000000000,4.45997000000000,4.50962000000000,4.48385000000000,4.47785500000000,4.46578000000000,4.44876000000000,4.43085000000000,4.42396000000000,4.43620000000000,4.43475500000000,4.44820000000000,4.38482000000000,4.48879000000000,4.40905500000000,4.43323000000000,4.40764000000000,4.40447000000000,4.33059000000000,4.45805500000000,4.40720000000000,4.39510000000000,,,,,,,,,,,,,,,,,,,,,,,,,,5.21585000000000,5.30646000000000,5.26800000000000,5.25506000000000,5.23473000000000,5.31722500000000,5.27603000000000,5.27779000000000,5.18018000000000,5.14422500000000,5.14183000000000,5.16081000000000,5.17076500000000,5.13751000000000,5.16469000000000,5.15546500000000,5.13549000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.72361000000000,1.73335500000000,1.72227000000000,1.73068000000000,1.71562500000000,1.70804000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07631000000000,2.10122000000000,2.07707000000000,2.08468000000000,2.05756000000000,2.07188000000000,2.03202000000000,2.01635000000000,2.08424000000000,2.08267000000000,2.06123000000000,2.07414000000000,2.07239000000000,2.06760000000000,2.02199000000000,2.03742500000000,2.02222000000000,2.02322500000000,2.01546000000000,2.03236000000000,2.00949000000000,2.02605000000000,2.04195500000000,2.07009500000000,2.07573500000000,2.05929000000000,1.97924000000000,,,,,,,,,,,,,,,,,,,,,,,
3,3.53815500000000,3.52564000000000,3.59004500000000,3.63160500000000,3.55862000000000,3.58452000000000,3.55369000000000,3.55946500000000,3.57541000000000,3.60468000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.21542000000000,4.19211500000000,4.17196500000000,4.08744000000000,4.12875000000000,4.16789000000000,4.18356000000000,4.21882500000000,4.26136000000000,4.19986000000000,4.21884000000000,4.23216000000000,4.22731000000000,4.18392000000000,4.20569500000000,4.10792000000000,4.14047000000000,4.17908000000000,4.15436000000000,4.18172000000000,4.19931500000000,4.16469000000000,4.25230000000000,4.35049000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
