,Baseline,ACh
"Removed due to invalid cell",,
"Removed due to invalid cell",,
,0.14671246119770,1.09481425885060
,0.15986099044309,0.81982784425673
,0.13287158952874,0.96654897223356
,0.13198178387504,0.49935449089903
,0.10749931980582,0.81144062740156
,0.08473939314360,0.83325134273311
,0.04901363496676,0.70817181459896
,0.07047049744601,0.63198059703321
,0.06748094913294,0.88679245283019
,0.06495367325880,0.36815448808848
,0.06907558277348,1.16016651134700
,0.07880137763204,1.02018327180735
,0.08735507676623,0.84742910600141
,0.23280863430603,1.84136947526496
,0.13540385951783,1.34154853132257
,0.20600629689854,1.76852929105346
,0.13432148068505,1.26441901543660
,0.08984240703568,0.57493151748384
,0.09990864731178,1.02903232993917
,0.08601127794008,0.91419254025409
,0.08173741152465,1.08116351733373
,0.08234755787547,1.71955338000503
,0.06404751606199,1.93905410965407
,0.11972602856570,1.59291956140688
,0.08695302402162,1.37422032962023
,0.10773564270220,1.78481990317578
,0.07574802046107,0.91637062796720
