GRABACh3.0,iAChSnFR,gGRAB5-HT2h,GRABNE2m,GRABDA2m
0.17147898802422,0.07427720416224,-0.01217592471268,0.04160419491478,-0.04375636158254
0.18733051547573,0.07631345302176,-0.01100594685547,0.03035804355083,-0.04069702223594
0.16616177253154,0.07853088674458,-0.01269572002188,0.01422339547520,-0.05281359613703
0.17856647782300,0.05479137009744,,,
0.18696606979515,0.04611835204731,0.00277294352283,0.01353592568833,-0.03145811949888
,,0.02085471569145,0.06172172617640,-0.03081987243648
,0.06960595559350,-0.01241975906381,0.05708244243889,-0.05010516117607
0.13072263076723,0.03003673345436,-0.01310249237077,,-0.02094630503383
0.14033081127579,0.06508639899390,,0.00597572189143,
0.11771128288251,0.07445217297563,-0.01770594569371,0.01870498745726,-0.02331648330671
0.07239238531835,0.06844194039260,-0.02192510770617,0.03283327757235,-0.01966370706793
0.10903740594164,0.07739060670312,-0.03223468486596,0.02284123196668,-0.05812156120952
,,,,
0.18539917186614,,-0.00923292905807,-0.00229354360537,-0.00376526939192
0.17213828296340,,-0.01073565335594,-0.02132596113967,-0.01338890528698
0.17592191947393,,-0.01412859359879,0.02799376695309,-0.01452443698273
0.20769032490696,,-0.00602391933989,,
0.16502360407384,,,,0.00349278948237
0.20274052687153,,-0.00757622854688,,-0.00325150751764
0.18064747343942,,-0.00235759926541,,
0.13880938151477,,,-0.03741520776324,-0.00750412919421
,,-0.06904913763334,-0.03145715793351,-0.02802546024068
,,-0.03749081044092,,-0.00057323405271
,,,,-0.00489090612891
,,-0.00076709823390,,
,,-0.02321704369271,,
,,,,
,,-0.01148857463250,,
,,-0.00953815466221,,
,,,,
,,-0.02611281496026,,
,,-0.01526935534373,,
,,-0.03557375263846,,
,,-0.03698881500498,,
,,,,
,,-0.04688896692101,,
,,-0.01760878934995,,
,,-0.08348082381418,,
