,"ACh sensor",Autofluorescence
0.048828125,0,0.00000000000000
0.097656250,0,0.00000000000000
0.146484375,0,0.00000000000000
0.195312500,0,0.00000000000000
0.244140625,0,0.00000000000000
0.292968750,0,0.00000000000000
0.341796875,0,0.00000000000000
0.390625000,0,0.00000000000000
0.439453125,184,9.09235408550055
0.488281250,179,9.35847176605178
0.537109375,169,9.00364819198347
0.585937500,182,10.60035427529090
0.634765625,213,13.26153108080320
0.683593750,280,18.98306121265480
0.732421875,367,31.93412166614830
0.781250000,685,59.61036044347680
0.830078125,1195,90.12518781335180
0.878906250,1849,130.48636936362200
0.927734375,2683,171.55719806203000
0.976562500,3540,203.31390794114400
1.025390625,4450,225.31296953337900
1.074218750,5222,237.73179462577000
1.123046875,5803,236.17944148922200
1.171875000,6048,229.03861706109700
1.220703125,6364,215.06743883215700
1.269531250,6465,192.31437714502600
1.318359375,6475,184.37519967524800
1.367187500,6501,170.44837439306600
1.416015625,6425,153.41684283778700
1.464843750,6555,149.33637173600200
1.513671875,6303,141.79637078705000
1.562500000,6283,129.86542810900300
1.611328125,6284,126.40589826183700
1.660156250,6130,122.19236831977600
1.708984375,5950,113.45483780834300
1.757812500,5952,112.70083771344800
1.806640625,5844,111.05977868338200
1.855468750,5587,104.18507193580900
1.904296875,5751,97.08860045444240
1.953125000,5496,92.16542336424460
2.001953125,5352,90.08083486659320
2.050781250,5282,84.71412830881000
2.099609375,5085,79.70224532509500
2.148437500,4963,75.48871538303380
2.197265625,5064,71.71871490855800
2.246093750,4904,69.94459703821640
2.294921875,4662,70.92036186690420
2.343750000,4560,63.95694922581360
2.392578125,4669,64.93271405450150
2.441406250,4511,59.96518401754510
2.490234375,4592,58.27977204072060
2.539062500,4344,60.49741937864750
2.587890625,4428,57.79188962637660
2.636718750,4289,54.02188915190080
2.685546875,4357,54.86459514031300
2.734375000,4202,50.82847698528600
2.783203125,4016,51.75988886721530
2.832031250,4028,52.95741842969590
2.880859375,3920,48.38906491356630
2.929687500,3957,50.78412403852740
2.978515625,3825,46.57059409646620
3.027343750,3767,47.76812365894680
3.076171875,3845,46.48188820294910
3.125000000,3658,45.41741748074420
3.173828125,3584,44.35294675853930
3.222656250,3674,40.67165217758050
3.271484375,3476,41.60306405950980
3.320312500,3513,42.26835826088790
3.369140625,3422,42.44577004792210
3.417968750,3346,42.31271120764640
3.466796875,3251,41.73612289978540
3.515625000,3234,40.71600512433900
3.564453125,3303,37.38953411744860
3.613281250,3320,35.92588687441680
3.662109375,3232,38.09918126558520
3.710937500,3180,36.94600464986320
3.759765625,3121,34.41788668462650
3.808593750,3043,34.72835731193620
3.857421875,2893,33.44212185593860
3.906250000,2894,33.48647480269710
3.955078125,2876,32.37765113373370
4.003906250,2852,30.02694495553110
4.052734375,2784,30.33741558284080
4.101562500,2611,29.00682718008470
4.150390625,2719,29.93823906201400
4.199218750,2597,28.56329771249930
4.248046875,2558,27.32141520326020
4.296875000,2456,26.83353278891620
4.345703125,2582,27.63188583057000
4.394531250,2463,24.48282661071370
4.443359375,2487,26.70047394864060
4.492187500,2329,28.51894476574070
4.541015625,2430,24.30541482367950
4.589843750,2326,26.70047394864060
4.638671875,2309,26.65612100188210
4.687500000,2215,26.07953269402110
4.736328125,2349,24.48282661071370
4.785156250,2199,25.28117965236740
4.833984375,2133,25.01506197181610
4.882812500,2029,24.97070902505760
4.931640625,2014,22.48694400657940
4.980468750,1967,21.51117917789150
5.029296875,1927,20.66847318947930
5.078125000,1877,21.51117917789150
5.126953125,1811,21.64423801816720
5.175781250,1891,20.26929666865240
5.224609375,1836,20.44670845568660
5.273437500,1790,21.77729685844280
5.322265625,1824,20.49106140244510
5.371093750,1792,20.93459087003050
5.419921875,1713,21.73294391168420
5.468750000,1788,21.82164980520130
5.517578125,1799,21.86600275195990
5.566406250,1683,18.98306121265480
5.615234375,1707,20.53541434920370
5.664062500,1674,20.40235550892810
5.712890625,1530,19.11612005293040
5.761718750,1528,18.05164933072550
5.810546875,1546,18.14035522424260
5.859375000,1453,17.91859049044990
5.908203125,1446,17.65247280989860
5.957031250,1436,16.45494324741810
6.005859375,1396,15.83400199279850
6.054687500,1347,17.74117870341570
6.103515625,1377,16.72106092796930
6.152343750,1422,17.87423754369130
6.201171875,1373,18.31776701127670
6.250000000,1379,17.34200218258880
6.298828125,1353,16.36623735390100
6.347656250,1376,16.72106092796930
6.396484375,1276,17.51941396962300
6.445312500,1287,17.07588450203760
6.494140625,1213,15.83400199279850
6.542968750,1189,15.16870779142040
6.591796875,1145,15.83400199279850
6.640625000,1133,13.83811938866420
6.689453125,1086,13.92682528218130
6.738281250,1032,16.58800208769370
6.787109375,1128,16.14447262010830
6.835937500,1008,15.47917841873020
