,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
,20220518_AchsensorHEK002_laser,20220518_AchsensorHEK002_laser,20220518_AchsensorHEK002_laser,,,20221024_AchsensorHEK002_laser,20221024_AchsensorHEK002_laser,20221024_AchsensorHEK002_laser,,,20221024_AchsensorHEK003_laser,20221024_AchsensorHEK003_laser,20221024_AchsensorHEK003_laser,20221024_AchsensorHEK003_laser,,20220518_AchsensorHEK002_laser,20220518_AchsensorHEK002_laser,20220518_AchsensorHEK002_laser,,,20221024_AchsensorHEK002_laser,20221024_AchsensorHEK002_laser,20221024_AchsensorHEK002_laser,,,20221024_AchsensorHEK003_laser,20221024_AchsensorHEK003_laser,20221024_AchsensorHEK003_laser,20221024_AchsensorHEK003_laser,
Baseline,54.8512244473053,41.8938785229456,83.3002566806390,,,21.6014416719858,19.2071227445288,28.5535721548539,,,16.6530612169757,18.1858373032754,17.5924701552201,14.5495066045066,,90.3795927797740,74.9210238942264,139.1827346358490,,,31.6643185901399,26.7784112339891,43.4104872120898,,,23.9230813868328,27.6443470831881,25.8666459767077,18.7664257544008,
ACh,134.1144956692090,121.5207915054860,207.7685667429590,,,90.9263274070620,97.8047350222169,98.8478583878978,,,72.2714940708078,71.7365308361532,81.0704474548313,56.5170378677926,,166.9854736769160,152.7638404326750,251.5912852856930,,,126.1336203347090,123.8385117261670,145.8556957334520,,,98.9048862620098,103.6324529058180,111.8660320833250,71.9874738244812,
