-,+
3.93671841499660,3.92088477145529
3.92522082498616,3.92685321415242
3.94361132247232,3.95009910972682
,
3.91054711673446,3.90575140041911
3.92361506943331,3.91837855491537
3.90797052022170,3.88838726396764
,
3.98683069935971,3.99293761301651
3.91266636830380,3.92184757897727
3.95846852212816,3.97109558481244
,
3.91474552994683,3.92775841095297
3.96852924851105,3.96702464017953
3.94062193505928,3.94092412306569
3.97601050548003,3.97899223064683
