,Low,Low,Low,Low,Low,Low,High,High,High,High,High,High
Baseline,26.4965576171875,62.2912846481876,50.0141386092792,61.9359840159840,62.3719952774498,39.8480346679688,39.8983764648438,92.0369136460554,115.3297697558720,134.8875524475520,99.5314757969304,62.2757934570313
ACh,77.8051635742188,163.8184968017060,88.2440587758880,109.0511488511490,161.9645808736720,81.7764282226563,113.4460815429690,234.4451226012790,198.8963322920280,230.3319880119880,248.5194332939790,126.6564331054690
