,PRF
0.048828125,0.00000000000000
0.097656250,0.00000000000000
0.146484375,0.00000000000000
0.195312500,0.00000000000000
0.244140625,0.00000000000000
0.292968750,0.00000000000000
0.341796875,0.00000000000000
0.390625000,0.00000000000000
0.439453125,0.00000000000000
0.488281250,0.00009945380718
0.537109375,0.00036852889732
0.585937500,0.00103557427084
0.634765625,0.00318510342517
0.683593750,0.00875682504324
0.732421875,0.01997733532213
0.781250000,0.03795258854759
0.830078125,0.06112048590102
0.878906250,0.08505617851826
0.927734375,0.10433966615512
0.976562500,0.11402700874048
1.025390625,0.11287084945976
1.074218750,0.10230600568423
1.123046875,0.08506020997171
1.171875000,0.06604827579325
1.220703125,0.04847831368139
1.269531250,0.03457784138079
1.318359375,0.02414401138107
1.367187500,0.01654319360030
1.416015625,0.01158635786333
1.464843750,0.00815854656878
1.513671875,0.00583629342168
1.562500000,0.00426704844209
1.611328125,0.00325515417498
1.660156250,0.00251141759351
1.708984375,0.00195111245684
1.757812500,0.00160306713793
1.806640625,0.00130482806653
1.855468750,0.00106748753906
1.904296875,0.00087070369846
1.953125000,0.00073010678085
2.001953125,0.00063246837390
2.050781250,0.00056395043881
2.099609375,0.00050154054312
2.148437500,0.00045179392478
2.197265625,0.00043266831739
2.246093750,0.00040108467065
2.294921875,0.00038005886086
2.343750000,0.00034588889645
2.392578125,0.00035328534929
2.441406250,0.00040840940034
2.490234375,0.00046180520830
2.539062500,0.00051572726619
2.587890625,0.00058065780338
2.636718750,0.00062836293558
2.685546875,0.00065585540050
2.734375000,0.00069763049956
2.783203125,0.00069843715447
2.832031250,0.00070009799950
2.880859375,0.00073283654481
2.929687500,0.00075352448300
2.978515625,0.00080690603445
3.027343750,0.00089988596204
3.076171875,0.00101815700308
3.125000000,0.00116236422524
3.173828125,0.00128474891412
3.222656250,0.00137324232165
3.271484375,0.00147207451225
3.320312500,0.00149455592907
3.369140625,0.00145372488422
3.417968750,0.00133433955158
3.466796875,0.00113822540721
3.515625000,0.00097059659846
3.564453125,0.00079052400688
3.613281250,0.00064716060279
3.662109375,0.00054066797343
3.710937500,0.00042248291204
3.759765625,0.00032240379624
3.808593750,0.00025907663744
3.857421875,0.00020599623507
3.906250000,0.00015836671047
3.955078125,0.00011690701698
4.003906250,0.00009570103838
4.052734375,0.00007459745846
4.101562500,0.00006695343873
4.150390625,0.00006694522921
4.199218750,0.00005609445271
4.248046875,0.00004690235870
4.296875000,0.00003874634553
4.345703125,0.00003124360956
4.394531250,0.00003312134593
4.443359375,0.00003316844052
4.492187500,0.00002805327182
4.541015625,0.00002975904890
4.589843750,0.00003311313641
4.638671875,0.00002873722456
4.687500000,0.00003732529850
4.736328125,0.00004038860899
4.785156250,0.00003558063635
4.833984375,0.00004151283202
4.882812500,0.00004212506161
4.931640625,0.00003914773077
4.980468750,0.00003909242666
5.029296875,0.00003707340654
5.078125000,0.00004189779821
5.126953125,0.00004280080482
5.175781250,0.00003653894707
5.224609375,0.00003625637957
5.273437500,0.00003822830511
5.322265625,0.00003784333892
5.371093750,0.00003480249445
5.419921875,0.00002728333944
5.468750000,0.00002908330568
5.517578125,0.00003673553493
5.566406250,0.00003340391344
5.615234375,0.00002984502855
5.664062500,0.00003196644736
5.712890625,0.00003080333927
5.761718750,0.00002333127884
5.810546875,0.00002035394799
5.859375000,0.00001894715746
5.908203125,0.00001336104292
5.957031250,0.00001013182012
6.005859375,0.00000617975952
6.054687500,0.00000724867844
6.103515625,0.00001244982679
6.152343750,0.00001331394834
6.201171875,0.00001085465792
6.250000000,0.00001095705661
6.298828125,0.00000853665125
6.347656250,0.00000990455672
6.396484375,0.00001186006322
6.445312500,0.00000666712440
6.494140625,0.00000651763113
6.542968750,0.00000898513107
6.591796875,0.00001094884709
6.640625000,0.00000579479333
6.689453125,0.00000386996237
6.738281250,0.00000386996237
6.787109375,0.00000657293523
6.835937500,0.00000694969190
6.884765625,0.00000826229327
6.933593750,0.00000718516482
6.982421875,0.00000329661784
7.031250000,0.00000845067160
7.080078125,0.00000665891488
7.128906250,0.00000580300285
7.177734375,0.00000762543512
7.226562500,0.00000531563797
7.275390625,0.00000565350957
7.324218750,0.00000536273255
7.373046875,0.00000526854338
7.421875000,0.00000941719184
7.470703125,0.00000786090804
7.519531250,0.00001014823916
7.568359375,0.00001098773215
7.617187500,0.00000469519886
7.666015625,0.00000994344178
7.714843750,0.00001481492804
7.763671875,0.00001837381293
7.812500000,0.00001996898180
7.861328125,0.00002333948836
7.910156250,0.00002377154913
7.958984375,0.00002034573847
8.007812500,0.00001958401561
8.056640625,0.00001996077228
8.105468750,0.00001688104275
8.154296875,0.00001586742793
8.203125000,0.00001167168489
8.251953125,0.00000719337434
8.300781250,0.00000434911773
8.349609375,0.00000129111738
8.398437500,0.00000000000000
8.447265625,0.00000000000000
8.496093750,4.57426176317999e-007
8.544921875,0.00000401945564
8.593750000,0.00000511905011
8.642578125,0.00000310002999
8.691406250,0.00000623506362
8.740234375,0.00000656472571
8.789062500,0.00000206104976
8.837890625,0.00000180891261
8.886718750,0.00000386996237
8.935546875,0.00000206104976
8.984375000,0.00000147104100
9.033203125,0.00000179563814
9.082031250,0.00000126938820
9.130859375,0.00000411364481
9.179687500,0.00000502486094
9.228515625,0.00000206104976
9.277343750,0.00000147104100
9.326171875,0.00000348499618
9.375000000,0.00000285634755
9.423828125,9.06151189024659e-007
9.472656250,0.00000383614225
9.521484375,0.00000651763113
9.570312500,0.00000244601595
9.619140625,0.00000000000000
9.667968750,0.00000000000000
9.716796875,1.19554568810386e-007
9.765625000,0.00000126938820
9.814453125,0.00000208641516
9.863281250,0.00000170144897
9.912109375,9.06151189024659e-007
9.960937500,0.00000000000000
10.009765625,0.00000180891261
10.058593750,0.00000206104976
10.107421875,0.00000000000000
10.156250000,1.19554568810386e-007
10.205078125,0.00000295874624
10.253906250,0.00000321594834
10.302734375,0.00000147104100
10.351562500,0.00000483648261
10.400390625,0.00000360091453
10.449218750,0.00000000000000
10.498046875,0.00000000000000
10.546875000,0.00000000000000
10.595703125,0.00000000000000
10.644531250,0.00000000000000
10.693359375,0.00000000000000
10.742187500,0.00000147104100
10.791015625,0.00000167608357
10.839843750,0.00000000000000
10.888671875,0.00000000000000
10.937500000,0.00000000000000
10.986328125,0.00000000000000
11.035156250,0.00000000000000
11.083984375,0.00000000000000
11.132812500,1.19554568810386e-007
11.181640625,1.36218806193249e-007
11.230468750,0.00000000000000
11.279296875,0.00000000000000
11.328125000,0.00000000000000
11.376953125,0.00000000000000
11.425781250,0.00000000000000
11.474609375,0.00000000000000
11.523437500,0.00000000000000
11.572265625,0.00000000000000
11.621093750,0.00000000000000
11.669921875,0.00000000000000
11.718750000,0.00000000000000
11.767578125,0.00000000000000
11.816406250,0.00000000000000
11.865234375,0.00000000000000
11.914062500,0.00000000000000
11.962890625,0.00000000000000
12.011718750,0.00000000000000
12.060546875,0.00000000000000
12.109375000,0.00000000000000
12.158203125,0.00000000000000
