state4.2
"[280.5, 407.02]"
"[644.72, 826.82]"
"[1316.0, 1382.5]"
"[2084.1, 2119.4]"
"[2644.0, 2742.8]"
"[2867.6, 2887.3]"
"[3860.8, 3990.7]"
"[5141.0, 5250.2]"
"[6524.8, 6626.8]"
"[7352.2, 7622.5]"
"[8732.3, 8825.9]"
"[9571.8, 9614.4]"
"[10305.0, 10380.0]"
"[10613.0, 10659.0]"
"[10873.0, 10895.0]"
"[12393.0, 12472.0]"
"[12517.0, 12535.0]"
"[13005.0, 13024.0]"
"[13120.0, 13184.0]"
"[14929.0, 14956.0]"
"[15068.0, 15151.0]"
"[15864.0, 16407.0]"
"[18164.0, 18266.0]"
"[20672.0, 20807.0]"
"[21944.0, 22123.0]"
"[22876.0, 22979.0]"
"[23544.0, 23619.0]"
"[23952.0, 24011.0]"
"[24992.0, 25288.0]"
"[26660.0, 26687.0]"
"[26748.0, 26784.0]"
"[27189.0, 27255.0]"
"[27956.0, 28120.0]"
"[28148.0, 28219.0]"
"[31754.0, 31824.0]"
"[32186.0, 32276.0]"
"[34818.0, 34841.0]"
"[36760.0, 36796.0]"
"[37069.0, 37091.0]"
"[37187.0, 37207.0]"
"[38116.0, 38200.0]"
"[38452.0, 38536.0]"
"[38873.0, 38924.0]"
"[41716.0, 41856.0]"
"[42204.0, 42236.0]"
"[42369.0, 42411.0]"
"[42708.0, 42832.0]"
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
