state4.2
"[98.441, 161.68]"
"[642.7, 724.9]"
"[1465.8, 1484.5]"
"[1995.4, 2052.7]"
"[2331.7, 2441.9]"
"[2651.2, 2829.7]"
"[5927.6, 6066.4]"
"[7047.2, 7073.7]"
"[7567.3, 7618.5]"
"[7860.1, 7901.6]"
"[8479.0, 8586.1]"
"[11130.0, 11241.0]"
"[11489.0, 11636.0]"
"[12121.0, 12165.0]"
"[12357.0, 12428.0]"
"[12789.0, 12857.0]"
"[13020.0, 13343.0]"
"[13489.0, 13599.0]"
"[14112.0, 14268.0]"
"[14580.0, 14647.0]"
"[14893.0, 15064.0]"
"[15348.0, 15428.0]"
"[15481.0, 15536.0]"
"[15869.0, 16063.0]"
"[16197.0, 16272.0]"
"[16392.0, 16486.0]"
"[16993.0, 17076.0]"
"[18088.0, 18199.0]"
"[18396.0, 18563.0]"
"[18888.0, 18939.0]"
"[19224.0, 19283.0]"
"[19445.0, 19507.0]"
"[19636.0, 19704.0]"
"[20392.0, 20492.0]"
"[20872.0, 20947.0]"
"[21085.0, 21127.0]"
"[21745.0, 21807.0]"
"[21884.0, 21988.0]"
"[22309.0, 22367.0]"
"[22461.0, 22555.0]"
"[22956.0, 23039.0]"
"[23509.0, 23564.0]"
"[23788.0, 23895.0]"
"[23952.0, 24044.0]"
"[24300.0, 24363.0]"
"[24916.0, 24967.0]"
"[25348.0, 25399.0]"
"[25677.0, 25856.0]"
"[26220.0, 26267.0]"
"[26524.0, 26563.0]"
"[27017.0, 27054.0]"
"[27280.0, 27352.0]"
"[27380.0, 27419.0]"
"[27761.0, 27843.0]"
"[28549.0, 28591.0]"
"[29477.0, 29515.0]"
"[29721.0, 29896.0]"
"[30112.0, 30128.0]"
"[30196.0, 30239.0]"
"[30409.0, 30443.0]"
"[30845.0, 30948.0]"
"[31060.0, 31122.0]"
"[31387.0, 31587.0]"
"[32071.0, 32135.0]"
"[32230.0, 32271.0]"
"[32620.0, 32687.0]"
"[33002.0, 33114.0]"
"[33324.0, 33375.0]"
"[34275.0, 34310.0]"
"[37583.0, 37673.0]"
"[38006.0, 38065.0]"
"[38189.0, 38277.0]"
"[38838.0, 38885.0]"
"[39195.0, 39334.0]"
"[40278.0, 40342.0]"
"[40634.0, 40654.0]"
""
""
""
""
""
""
""
""
""
""
""
