,Mouse ID,Laser,Resting Fit Lifetime,Resting Empirical Lifetime,Resting Intensity,Running Fit Lifetime,Running Empirical Lifetime,Running Intensity
0,1610,1,2.5049943195125066,4.194430292923273,381486.38095238095,2.546043319709177,4.250146532897687,424047.275862069
1,1610,2,,,,,,
2,1610,3,2.5284324931790927,4.200475333727525,270841.7368421053,2.567840102847288,4.259931102532433,304640.3
3,1611,1,2.443495894522497,4.195530580097934,195775.89285714287,2.4835471568299976,4.238787533454095,213615.08
4,1611,2,2.480436734246584,4.226354344166563,150726.11842105264,2.4935825418613833,4.243376031075675,159125.5
5,1611,3,,,,,,
6,1612,1,2.521215781507269,4.192393497610012,491700.125,2.570229600557533,4.264572372425517,581763.8125
7,1612,2,2.5396040250328964,4.208934746495364,444004.72,2.5872106511228834,4.278285512247242,519384.27777777775
8,1612,3,,,,,,
9,1626,1,2.459325668550099,4.173757400051985,267496.8043478261,2.5159737035201357,4.244407657026919,309579.55555555556
10,1626,2,,,,,,
11,1626,3,,,,,,
12,1629,1,2.448791631319534,4.16281085714129,290715.4166666667,2.492937172743249,4.232326584743503,331027.69736842107
13,1629,2,2.48640621913921,4.230373774310749,172202.83333333334,2.524610255897508,4.290549241099125,201330.72093023255
14,1629,3,2.4523689295355497,4.211118061731401,146862.84782608695,2.4987177351539063,4.276089403060583,169671.609375
15,1630,1,2.4962314682456177,4.1899036033605235,573931.0,2.533387693187999,4.256784693167527,654592.3461538461
16,1630,2,2.5258599284989294,4.227329286448321,357260.65,2.563757598391352,4.291488019109792,415863.6857142857
17,1630,3,2.496908563341218,4.222915945911673,272958.40476190473,2.5424047394167064,4.290723602323504,316977.47826086957
