state1.2
"[1306.9, 1829.2]"
"[2542.9, 2972.6]"
"[3083.1, 3896.9]"
"[4218.2, 4700.8]"
"[4967.0, 5293.4]"
"[5514.8, 6013.0]"
"[6107.0, 6128.8]"
"[6242.2, 6477.2]"
"[7038.9, 7468.7]"
"[7946.6, 8745.4]"
"[10506.0, 11298.0]"
"[11330.0, 11497.0]"
"[11566.0, 11853.0]"
"[12126.0, 12433.0]"
"[13597.0, 13684.0]"
"[15038.0, 17537.0]"
"[17967.0, 18181.0]"
"[18462.0, 18510.0]"
"[18542.0, 18868.0]"
"[18994.0, 19029.0]"
"[19146.0, 19781.0]"
"[20022.0, 21137.0]"
"[21602.0, 21705.0]"
"[21866.0, 21889.0]"
"[22050.0, 22108.0]"
"[27001.0, 27128.0]"
"[27412.0, 27456.0]"
"[27533.0, 27591.0]"
"[31517.0, 31743.0]"
"[32076.0, 32255.0]"
"[32535.0, 32920.0]"
"[32953.0, 32971.0]"
"[38376.0, 38471.0]"
"[38724.0, 39387.0]"
"[39576.0, 39896.0]"
"[40161.0, 40447.0]"
"[40533.0, 40680.0]"
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
