state1.2
"[13.045, 30.386]"
"[683.88, 713.93]"
"[1816.5, 2096.3]"
"[2132.6, 2179.5]"
"[2257.0, 2287.6]"
"[2372.3, 2419.2]"
"[2513.1, 2595.8]"
"[3464.8, 3566.9]"
"[4256.5, 5700.5]"
"[5732.4, 5794.6]"
"[7352.3, 8455.4]"
"[8649.0, 8718.7]"
"[9640.4, 9758.8]"
"[10400.0, 10595.0]"
"[12476.0, 13300.0]"
"[14395.0, 14423.0]"
"[14940.0, 15279.0]"
"[16488.0, 16508.0]"
"[17356.0, 17712.0]"
"[18192.0, 19292.0]"
"[19881.0, 20779.0]"
"[21152.0, 21535.0]"
"[23108.0, 23304.0]"
"[25770.0, 26646.0]"
"[26771.0, 27169.0]"
"[27354.0, 27633.0]"
"[28879.0, 28921.0]"
"[29091.0, 29298.0]"
"[29698.0, 29777.0]"
"[29906.0, 30157.0]"
"[30535.0, 30686.0]"
"[33124.0, 33570.0]"
"[35462.0, 35661.0]"
"[35915.0, 37033.0]"
"[37795.0, 37994.0]"
"[38094.0, 38130.0]"
"[38163.0, 38918.0]"
"[39051.0, 39305.0]"
"[39578.0, 39637.0]"
"[40874.0, 41042.0]"
"[41197.0, 41237.0]"
"[41651.0, 41693.0]"
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
