state1.2
"[13.064, 122.32]"
"[228.4, 346.0]"
"[1043.8, 1062.1]"
"[1151.9, 1874.2]"
"[2047.6, 2362.3]"
"[3296.5, 4210.1]"
"[4248.3, 4799.2]"
"[4900.2, 4967.5]"
"[5080.7, 5223.6]"
"[5388.9, 7246.3]"
"[8168.6, 8719.5]"
"[8876.6, 8899.0]"
"[9032.7, 9387.1]"
"[9925.2, 10435.0]"
"[10497.0, 10555.0]"
"[10864.0, 10991.0]"
"[11964.0, 11983.0]"
"[12160.0, 12355.0]"
"[13325.0, 13723.0]"
"[13781.0, 13943.0]"
"[14388.0, 14404.0]"
"[14561.0, 14751.0]"
"[14852.0, 15216.0]"
"[15376.0, 15395.0]"
"[15493.0, 15564.0]"
"[16008.0, 16032.0]"
"[16141.0, 16547.0]"
"[17016.0, 17292.0]"
"[17757.0, 17843.0]"
"[17953.0, 18235.0]"
"[18380.0, 18628.0]"
"[19189.0, 19243.0]"
"[19957.0, 19984.0]"
"[20448.0, 20504.0]"
"[22509.0, 24104.0]"
"[24420.0, 25930.0]"
"[26034.0, 26226.0]"
"[26339.0, 26374.0]"
"[26443.0, 27545.0]"
"[27807.0, 27825.0]"
"[28045.0, 28798.0]"
"[28895.0, 28950.0]"
"[29055.0, 29102.0]"
"[29518.0, 29578.0]"
"[32614.0, 32754.0]"
"[33672.0, 33799.0]"
"[34116.0, 34183.0]"
"[34504.0, 34703.0]"
"[34960.0, 35007.0]"
"[35500.0, 35523.0]"
"[35635.0, 35687.0]"
"[37226.0, 37242.0]"
"[37359.0, 38089.0]"
"[38175.0, 40213.0]"
"[40428.0, 40754.0]"
"[40812.0, 40966.0]"
"[41176.0, 41550.0]"
"[42204.0, 42242.0]"
