state4.2
"[148.32, 202.4]"
"[1087.6, 1126.4]"
"[1944.6, 2022.1]"
"[3196.6, 3270.5]"
"[4824.7, 4874.7]"
"[4993.0, 5055.2]"
"[8028.8, 8143.1]"
"[8924.6, 9007.2]"
"[9788.7, 9899.2]"
"[11804.0, 11939.0]"
"[14429.0, 14536.0]"
"[14776.0, 14827.0]"
"[15420.0, 15468.0]"
"[16057.0, 16116.0]"
"[16852.0, 16991.0]"
"[17601.0, 17732.0]"
"[19093.0, 19164.0]"
"[20204.0, 20243.0]"
"[21544.0, 21579.0]"
"[22197.0, 22236.0]"
"[24129.0, 24395.0]"
"[25955.0, 26009.0]"
"[26251.0, 26313.0]"
"[26399.0, 26418.0]"
"[27570.0, 27665.0]"
"[27851.0, 28021.0]"
"[28823.0, 28870.0]"
"[28975.0, 29030.0]"
"[30650.0, 30698.0]"
"[31922.0, 32006.0]"
"[34208.0, 34479.0]"
"[35548.0, 35610.0]"
"[38114.0, 38150.0]"
"[40295.0, 40403.0]"
"[40991.0, 41151.0]"
"[41896.0, 42179.0]"
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
