state2.2
"[6161.0, 6336.0]"
"[6653.3, 7007.4]"
"[13404.0, 13722.0]"
"[13780.0, 14155.0]"
"[14245.0, 14483.0]"
"[22876.0, 23131.0]"
"[23171.0, 23432.0]"
"[23596.0, 24159.0]"
"[24240.0, 24280.0]"
"[24353.0, 25647.0]"
"[26796.0, 27359.0]"
"[27432.0, 27663.0]"
"[27812.0, 28396.0]"
"[28492.0, 28963.0]"
"[29091.0, 29631.0]"
"[29809.0, 30136.0]"
"[34732.0, 35164.0]"
"[35228.0, 35904.0]"
"[36017.0, 37031.0]"
"[37173.0, 37727.0]"
"[41952.0, 42300.0]"
"[42352.0, 42671.0]"
"[42769.0, 43187.0]"
""
""
""
""
""
""
""
""
""
""
""
""
""
""
