state2.2
"[2693.8, 3123.7]"
"[4634.1, 4724.9]"
"[4766.7, 5097.3]"
"[5146.3, 5237.0]"
"[5283.1, 5500.6]"
"[5643.0, 5752.3]"
"[11562.0, 11878.0]"
"[12039.0, 12601.0]"
"[22641.0, 22735.0]"
"[23609.0, 23744.0]"
"[24808.0, 24831.0]"
"[24888.0, 24963.0]"
"[25012.0, 25092.0]"
"[25197.0, 25480.0]"
"[25692.0, 26367.0]"
"[26601.0, 27111.0]"
"[29777.0, 29823.0]"
"[29869.0, 30319.0]"
"[30528.0, 31023.0]"
"[33868.0, 34007.0]"
"[34057.0, 34432.0]"
"[34661.0, 34835.0]"
"[35560.0, 35984.0]"
"[36080.0, 36432.0]"
"[36496.0, 36775.0]"
"[36888.0, 37152.0]"
"[37321.0, 37792.0]"
"[42836.0, 42899.0]"
"[42956.0, 43163.0]"
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
