state1,state4,state2,state3
323045.0,321810.0,315170.0,299780.0
319630.0,314130.0,315100.0,295860.0
316410.0,313270.0,311590.0,295325.0
315155.0,310595.0,309250.0,301380.0
313995.0,310615.0,306540.0,297220.0
314200.0,310120.0,305430.0,302300.0
312290.0,304210.0,307745.0,
310940.0,307125.0,306640.0,
312085.0,301680.0,303070.0,
309830.0,306240.0,307040.0,
307820.0,303690.0,297380.0,
307630.0,301070.0,303070.0,
307640.0,301830.0,306290.0,
304760.0,305520.0,305795.0,
306340.0,303580.0,305780.0,
302080.0,305195.0,305510.0,
300550.0,303570.0,306025.0,
307320.0,305230.0,300270.0,
305335.0,304460.0,301790.0,
304340.0,304210.0,,
306180.0,301930.0,,
305175.0,303780.0,,
306945.0,303540.0,,
304080.0,304810.0,,
303650.0,303570.0,,
303680.0,304040.0,,
304730.0,303375.0,,
303140.0,304910.0,,
308110.0,303020.0,,
306080.0,304730.0,,
305800.0,302980.0,,
305715.0,303915.0,,
305790.0,304040.0,,
304430.0,305910.0,,
306080.0,305750.0,,
303180.0,306730.0,,
309130.0,306670.0,,
304940.0,307360.0,,
305185.0,302760.0,,
307010.0,307075.0,,
306820.0,304185.0,,
307190.0,304005.0,,
307880.0,304330.0,,
306360.0,302550.0,,
304750.0,302670.0,,
305885.0,302530.0,,
306805.0,,,
307615.0,,,
305965.0,,,
306130.0,,,
304130.0,,,
305495.0,,,
304480.0,,,
303740.0,,,
304130.0,,,
302020.0,,,
301660.0,,,
307780.0,,,
