state4.2
"[1881.0, 1903.5]"
"[2485.0, 2507.4]"
"[2749.2, 2879.3]"
"[6387.7, 6442.9]"
"[8500.5, 8520.4]"
"[9180.7, 9274.6]"
"[12476.0, 12539.0]"
"[15003.0, 15067.0]"
"[15400.0, 15460.0]"
"[15797.0, 15879.0]"
"[16456.0, 16495.0]"
"[16672.0, 16732.0]"
"[17176.0, 17296.0]"
"[18123.0, 18207.0]"
"[18488.0, 18571.0]"
"[19104.0, 19131.0]"
"[19269.0, 19332.0]"
"[21441.0, 21843.0]"
"[22016.0, 22123.0]"
"[22472.0, 22535.0]"
"[22632.0, 22679.0]"
"[22881.0, 22915.0]"
"[23060.0, 23139.0]"
"[23489.0, 23584.0]"
"[30624.0, 30646.0]"
"[31104.0, 31187.0]"
"[31280.0, 31363.0]"
"[31456.0, 31599.0]"
"[31740.0, 32015.0]"
"[35222.0, 35314.0]"
"[35875.0, 35897.0]"
"[37919.0, 37942.0]"
"[38030.0, 38081.0]"
"[38419.0, 38554.0]"
"[39771.0, 39805.0]"
"[40470.0, 40644.0]"
"[40702.0, 40849.0]"
"[41115.0, 41202.0]"
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
