state1.2
"[12.951, 638.53]"
"[852.83, 926.69]"
"[1015.4, 1555.4]"
"[2088.0, 2459.3]"
"[3540.5, 4902.2]"
"[4936.5, 5006.8]"
"[5459.8, 5482.2]"
"[6640.0, 6670.6]"
"[6891.0, 7674.2]"
"[7776.1, 8229.7]"
"[9162.8, 9577.0]"
"[9666.7, 9905.4]"
"[10027.0, 10785.0]"
"[12246.0, 12321.0]"
"[12450.0, 12685.0]"
"[12735.0, 12854.0]"
"[12995.0, 13818.0]"
"[13878.0, 13906.0]"
"[14263.0, 14425.0]"
"[14523.0, 14561.0]"
"[14694.0, 14906.0]"
"[16290.0, 16409.0]"
"[16465.0, 16869.0]"
"[17054.0, 17388.0]"
"[17524.0, 17809.0]"
"[18073.0, 18441.0]"
"[18501.0, 18920.0]"
"[19994.0, 20025.0]"
"[20209.0, 20976.0]"
"[21082.0, 22696.0]"
"[22801.0, 23499.0]"
"[23701.0, 24067.0]"
"[24161.0, 24655.0]"
"[24728.0, 24911.0]"
"[24980.0, 26579.0]"
"[26693.0, 26711.0]"
"[26845.0, 26983.0]"
"[27128.0, 27239.0]"
"[27476.0, 27967.0]"
"[28028.0, 28071.0]"
"[28132.0, 29207.0]"
"[29429.0, 29892.0]"
"[30017.0, 30854.0]"
"[30971.0, 31398.0]"
"[31523.0, 31898.0]"
"[31967.0, 32138.0]"
"[32219.0, 32343.0]"
"[32459.0, 32738.0]"
"[32839.0, 33651.0]"
"[33767.0, 33819.0]"
"[33896.0, 34483.0]"
"[34591.0, 34662.0]"
"[34743.0, 34798.0]"
"[34895.0, 35390.0]"
"[35472.0, 35842.0]"
"[35944.0, 36786.0]"
"[36868.0, 37335.0]"
"[37367.0, 37713.0]"
"[37878.0, 38190.0]"
"[40139.0, 40170.0]"
"[40710.0, 40773.0]"
"[40894.0, 41549.0]"
"[41615.0, 42341.0]"
"[42455.0, 43053.0]"
"[43170.0, 43187.0]"
