state2.2
"[85.139, 303.42]"
"[520.72, 755.4]"
"[3402.2, 3561.5]"
"[3614.5, 3941.0]"
"[4362.3, 4592.8]"
"[4702.3, 4841.1]"
"[4939.0, 5121.2]"
"[5202.8, 5388.8]"
"[5561.4, 5900.5]"
"[7122.5, 7413.2]"
"[7638.7, 7965.2]"
"[8674.2, 9220.5]"
"[9945.6, 10170.0]"
"[10624.0, 10951.0]"
"[11024.0, 11164.0]"
"[11393.0, 11551.0]"
"[11609.0, 11680.0]"
"[11849.0, 12064.0]"
"[12468.0, 12664.0]"
"[13025.0, 13512.0]"
"[13877.0, 14164.0]"
"[14357.0, 14672.0]"
"[16620.0, 17012.0]"
"[17609.0, 18024.0]"
"[19456.0, 19999.0]"
"[26125.0, 26299.0]"
"[26580.0, 26819.0]"
"[27116.0, 27444.0]"
"[27508.0, 27687.0]"
"[27825.0, 28119.0]"
"[28196.0, 28632.0]"
"[28761.0, 28807.0]"
"[28848.0, 28955.0]"
"[29036.0, 29223.0]"
"[29448.0, 29731.0]"
"[29804.0, 30144.0]"
"[31476.0, 31575.0]"
"[31613.0, 31796.0]"
"[32033.0, 32467.0]"
"[33505.0, 34119.0]"
"[34864.0, 35188.0]"
"[36196.0, 36460.0]"
"[37469.0, 37659.0]"
"[37729.0, 37892.0]"
"[38528.0, 38983.0]"
"[39116.0, 39544.0]"
"[39673.0, 39867.0]"
"[39996.0, 40079.0]"
"[40416.0, 40612.0]"
"[41569.0, 41984.0]"
"[42093.0, 42303.0]"
"[42404.0, 42591.0]"
"[42816.0, 43188.0]"
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
