state2.2
"[173.04, 586.3]"
"[684.06, 1227.3]"
"[1400.7, 1871.0]"
"[1936.3, 2275.0]"
"[3061.2, 3394.6]"
"[3440.4, 3511.1]"
"[3616.2, 3879.4]"
"[4140.5, 4259.0]"
"[5404.6, 5499.5]"
"[5740.2, 5818.8]"
"[5900.5, 6158.9]"
"[6480.7, 6699.2]"
"[6756.4, 6827.1]"
"[6965.4, 7119.3]"
"[7175.5, 7306.5]"
"[7504.2, 7538.5]"
"[8419.0, 8589.3]"
"[8714.9, 9009.7]"
"[9131.1, 9577.0]"
"[10786.0, 10878.0]"
"[11159.0, 11262.0]"
"[15495.0, 15602.0]"
"[15910.0, 15998.0]"
"[16291.0, 16497.0]"
"[16855.0, 16962.0]"
"[17195.0, 17266.0]"
"[17483.0, 18177.0]"
"[18367.0, 18758.0]"
"[18835.0, 18949.0]"
"[19190.0, 19829.0]"
"[19870.0, 19910.0]"
"[25119.0, 25426.0]"
"[26178.0, 26462.0]"
"[26639.0, 27261.0]"
"[27507.0, 28342.0]"
"[28535.0, 28898.0]"
"[28950.0, 29105.0]"
"[29355.0, 29462.0]"
"[29854.0, 30082.0]"
"[30126.0, 30270.0]"
"[30462.0, 30570.0]"
"[30618.0, 31249.0]"
"[31431.0, 32073.0]"
"[32334.0, 32585.0]"
"[32670.0, 33194.0]"
"[33343.0, 33370.0]"
"[33515.0, 33782.0]"
"[37863.0, 38217.0]"
"[38375.0, 39141.0]"
"[39274.0, 40326.0]"
"[42802.0, 43173.0]"
""
""
""
""
""
