,"Low Photon","High Photon"
0.048828125,10.0000000000000,29.000000000000
0.097656250,8.0000000000000,33.000000000000
0.146484375,15.0000000000000,36.000000000000
0.195312500,9.0000000000000,33.000000000000
0.244140625,7.0000000000000,35.000000000000
0.292968750,7.0000000000000,34.000000000000
0.341796875,12.0000000000000,35.000000000000
0.390625000,11.0000000000000,38.000000000000
0.439453125,11.0000000000000,31.000000000000
0.488281250,9.0000000000000,40.000000000000
0.537109375,9.0000000000000,25.000000000000
0.585937500,8.0000000000000,33.000000000000
0.634765625,15.0000000000000,39.000000000000
0.683593750,17.0000000000000,63.000000000000
0.732421875,33.0000000000000,120.000000000000
0.781250000,63.0000000000000,216.000000000000
0.830078125,93.0000000000000,343.000000000000
0.878906250,163.0000000000000,449.000000000000
0.927734375,242.0000000000000,668.000000000000
0.976562500,295.0000000000000,885.000000000000
1.025390625,385.0000000000000,1140.000000000000
1.074218750,462.0000000000000,1267.000000000000
1.123046875,527.0000000000000,1507.000000000000
1.171875000,540.0000000000000,1529.000000000000
1.220703125,565.0000000000000,1619.000000000000
1.269531250,605.0000000000000,1653.000000000000
1.318359375,602.0000000000000,1728.000000000000
1.367187500,594.0000000000000,1619.000000000000
1.416015625,566.0000000000000,1589.000000000000
1.464843750,547.0000000000000,1597.000000000000
1.513671875,580.0000000000000,1598.000000000000
1.562500000,556.0000000000000,1585.000000000000
1.611328125,533.0000000000000,1515.000000000000
1.660156250,515.0000000000000,1511.000000000000
1.708984375,503.0000000000000,1564.000000000000
1.757812500,504.0000000000000,1553.000000000000
1.806640625,544.0000000000000,1372.000000000000
1.855468750,494.0000000000000,1413.000000000000
1.904296875,467.0000000000000,1436.000000000000
1.953125000,456.0000000000000,1439.000000000000
2.001953125,460.0000000000000,1342.000000000000
2.050781250,484.0000000000000,1357.000000000000
2.099609375,435.0000000000000,1306.000000000000
2.148437500,436.0000000000000,1347.000000000000
2.197265625,451.0000000000000,1251.000000000000
2.246093750,407.0000000000000,1183.000000000000
2.294921875,437.0000000000000,1215.000000000000
2.343750000,408.0000000000000,1192.000000000000
2.392578125,426.0000000000000,1118.000000000000
2.441406250,403.0000000000000,1240.000000000000
2.490234375,389.0000000000000,1092.000000000000
2.539062500,395.0000000000000,1128.000000000000
2.587890625,372.0000000000000,1025.000000000000
2.636718750,374.0000000000000,1166.000000000000
2.685546875,338.0000000000000,1077.000000000000
2.734375000,351.0000000000000,1045.000000000000
2.783203125,357.0000000000000,1025.000000000000
2.832031250,315.0000000000000,1024.000000000000
2.880859375,348.0000000000000,995.000000000000
2.929687500,357.0000000000000,998.000000000000
2.978515625,328.0000000000000,958.000000000000
3.027343750,321.0000000000000,968.000000000000
3.076171875,318.0000000000000,934.000000000000
3.125000000,323.0000000000000,890.000000000000
3.173828125,326.0000000000000,868.000000000000
3.222656250,297.0000000000000,890.000000000000
3.271484375,306.0000000000000,935.000000000000
3.320312500,314.0000000000000,903.000000000000
3.369140625,298.0000000000000,900.000000000000
3.417968750,285.0000000000000,827.000000000000
3.466796875,307.0000000000000,792.000000000000
3.515625000,310.0000000000000,869.000000000000
3.564453125,311.0000000000000,773.000000000000
3.613281250,292.0000000000000,793.000000000000
3.662109375,270.0000000000000,757.000000000000
3.710937500,272.0000000000000,781.000000000000
3.759765625,284.0000000000000,758.000000000000
3.808593750,263.0000000000000,728.000000000000
3.857421875,249.0000000000000,687.000000000000
3.906250000,254.0000000000000,772.000000000000
3.955078125,241.0000000000000,697.000000000000
4.003906250,245.0000000000000,732.000000000000
4.052734375,269.0000000000000,696.000000000000
4.101562500,220.0000000000000,683.000000000000
4.150390625,223.0000000000000,664.000000000000
4.199218750,193.0000000000000,641.000000000000
4.248046875,224.0000000000000,656.000000000000
4.296875000,213.0000000000000,619.000000000000
4.345703125,238.0000000000000,591.000000000000
4.394531250,200.0000000000000,634.000000000000
4.443359375,184.0000000000000,599.000000000000
4.492187500,213.0000000000000,560.000000000000
4.541015625,195.0000000000000,604.000000000000
4.589843750,183.0000000000000,578.000000000000
4.638671875,198.0000000000000,547.000000000000
4.687500000,172.0000000000000,508.000000000000
4.736328125,201.0000000000000,533.000000000000
4.785156250,202.0000000000000,513.000000000000
4.833984375,179.0000000000000,512.000000000000
4.882812500,188.0000000000000,536.000000000000
4.931640625,183.0000000000000,535.000000000000
4.980468750,175.0000000000000,478.000000000000
5.029296875,186.0000000000000,495.000000000000
5.078125000,170.0000000000000,469.000000000000
5.126953125,146.0000000000000,456.000000000000
5.175781250,175.0000000000000,501.000000000000
5.224609375,165.0000000000000,454.000000000000
5.273437500,146.0000000000000,422.000000000000
5.322265625,167.0000000000000,457.000000000000
5.371093750,175.0000000000000,449.000000000000
5.419921875,161.0000000000000,413.000000000000
5.468750000,166.0000000000000,399.000000000000
5.517578125,145.0000000000000,398.000000000000
5.566406250,143.0000000000000,433.000000000000
5.615234375,129.0000000000000,367.000000000000
5.664062500,117.0000000000000,419.000000000000
5.712890625,129.0000000000000,403.000000000000
5.761718750,134.0000000000000,382.000000000000
5.810546875,131.0000000000000,380.000000000000
5.859375000,147.0000000000000,390.000000000000
5.908203125,129.0000000000000,371.000000000000
5.957031250,133.0000000000000,348.000000000000
6.005859375,122.0000000000000,351.000000000000
6.054687500,136.0000000000000,330.000000000000
6.103515625,117.0000000000000,347.000000000000
6.152343750,106.0000000000000,332.000000000000
6.201171875,116.0000000000000,313.000000000000
6.250000000,128.0000000000000,338.000000000000
6.298828125,108.0000000000000,283.000000000000
6.347656250,97.0000000000000,313.000000000000
6.396484375,102.0000000000000,306.000000000000
6.445312500,112.0000000000000,281.000000000000
6.494140625,118.0000000000000,293.000000000000
6.542968750,113.0000000000000,316.000000000000
6.591796875,90.0000000000000,288.000000000000
6.640625000,99.0000000000000,272.000000000000
6.689453125,93.0000000000000,298.000000000000
6.738281250,85.0000000000000,293.000000000000
6.787109375,83.0000000000000,286.000000000000
6.835937500,83.0000000000000,276.000000000000
6.884765625,94.0000000000000,255.000000000000
6.933593750,76.0000000000000,265.000000000000
6.982421875,83.0000000000000,253.000000000000
7.031250000,102.0000000000000,240.000000000000
7.080078125,78.0000000000000,244.000000000000
7.128906250,67.0000000000000,255.000000000000
7.177734375,86.0000000000000,204.000000000000
7.226562500,64.0000000000000,236.000000000000
7.275390625,92.0000000000000,252.000000000000
