,High,Low
,,
9.99200000000000e-015,130.162437562438,
0.18333333000000,134.891108891109,
0.41666667000000,135.509690309690,
0.65000000000000,134.135064935065,
0.90000000000000,133.716683316683,
1.13333333000000,133.253346653347,
1.36666667000000,133.702697302697,
1.60000000000000,136.971428571429,
1.83333333000000,136.201598401598,
2.08333333000000,133.071528471528,
2.31666667000000,134.210189810190,
2.55000000000000,135.910089910090,
2.78333333000000,135.149650349650,
3.03333333000000,133.739660339660,
3.26666667000000,138.818581418581,
3.50000000000000,134.871728271728,
3.73333333000000,134.280519480519,
3.96666667000000,134.052347652348,
4.20000000000000,134.667132867133,
4.43333333000000,133.254145854146,
4.68333333000000,135.994805194805,
4.91666667000000,134.873926073926,
5.15000000000000,135.055544455544,
5.38333333000000,135.259340659341,
5.61666667000000,133.519680319680,
5.85000000000000,132.709690309690,
6.10000000000000,154.869330669331,
6.33333333000000,217.087712287712,
6.56666667000000,235.098301698302,
6.80000000000000,232.032367632368,
7.05000000000000,230.321878121878,
7.28333333000000,233.876323676324,
7.51666667000000,225.286713286713,
7.75000000000000,230.247352647353,
8.00000000000000,226.411188811189,
8.23333333000000,226.612387612388,
8.46666667000000,229.812787212787,
8.70000000000000,226.725674325674,
8.95000000000000,229.918681318681,
9.18333333000000,225.704695304695,
9.41666667000000,230.219980019980,
9.65000000000000,231.237562437562,
9.90000000000000,233.126473526474,
10.13333330000000,229.515684315684,
10.36666670000000,230.291908091908,
10.60000000000000,229.453146853147,
10.83333330000000,229.272727272727,
11.06666670000000,233.331668331668,
,,
,,
0.30000000000000,,63.5634365634366
0.53333333000000,,62.8177822177822
0.76666667000000,,62.0771228771229
1.01666667000000,,62.9808191808192
1.25000000000000,,63.7202797202797
1.48333333000000,,62.9926073926074
1.71666667000000,,62.7826173826174
1.96666667000000,,61.7444555444556
2.20000000000000,,62.1068931068931
2.43333333000000,,62.0875124875125
2.66666667000000,,61.6021978021978
2.90000000000000,,62.1714285714286
3.15000000000000,,61.7034965034965
3.38333333000000,,62.7410589410589
3.61666667000000,,62.2251748251748
3.85000000000000,,60.6581418581419
4.08333333000000,,63.5530469530470
4.31666667000000,,62.8583416583417
4.55000000000000,,62.2261738261738
4.80000000000000,,62.1242757242757
5.03333333000000,,61.6213786213786
5.26666667000000,,63.5862137862138
5.50000000000000,,61.3414585414585
5.73333333000000,,61.0065934065934
5.98333333000000,,60.5336663336663
6.21666667000000,,94.7732267732268
6.45000000000000,,112.5100899100900
6.68333333000000,,113.3848151848150
6.93333333000000,,111.0717282717280
7.16666667000000,,110.9560439560440
7.40000000000000,,110.4259740259740
7.63333333000000,,108.0975024975030
7.88333333000000,,107.7426573426570
8.11666667000000,,108.3972027972030
8.35000000000000,,108.0221778221780
8.58333333000000,,110.3954045954050
8.83333333000000,,106.7294705294710
9.06666667000000,,108.2623376623380
9.30000000000000,,109.2357642357640
9.53333333000000,,108.7746253746250
9.78333333000000,,108.9988011988010
10.00000000000000,,108.6319680319680
10.25000000000000,,108.6383616383620
10.48333330000000,,108.4871128871130
10.71666670000000,,109.6551448551450
10.95000000000000,,109.8431568431570
11.18333330000000,,108.2571428571430
-210.68333000000000,,
