,Low,Low,Low,Low,Low,Low,High,High,High,High,High,High
Baseline,4.14500179393339,4.23761578947348,4.17676021501438,4.12902957248780,4.20512905889027,4.12957703486720,4.15426681336031,4.23800622321024,4.17950929544367,4.13012404125303,4.20627178366479,4.13476327665953
ACh,4.41202700637686,4.41208961514352,4.36051893847997,4.32186087352276,4.38923881467813,4.32375628395949,4.41247437438941,4.40629371917505,4.35750659768560,4.31501870934270,4.38586836492619,4.32355741901525
