Baseline,ACh
3.32580897648287,3.48460411159441
3.32066031583025,3.46584517237583
3.27999248139044,3.48875727279335
3.36491624731959,3.45875324924123
3.36840256750154,3.47308061062328
3.33553496984291,3.49141077145620
3.36437004736000,3.46104372000714
3.38033305499448,3.55198318891964
3.37922797486142,3.52992473104233
3.42670170916056,3.48074238489114
3.39709232288156,3.52716794033481
3.37766213984234,3.52230577768951
3.38830125916241,3.51309859844689
3.40088069314753,3.49026563215257
3.33194251481914,3.47064918854644
3.35995307303546,3.52480398424038
3.42210539937419,3.51020490212397
3.36724557527700,3.51825342270426
3.39482755698734,3.52197195200696
3.38611622113836,3.53012833163451
3.39790698890012,3.50092556028070
3.40638688968466,3.47282565450047
3.40244937030124,3.39060541889346
3.33913827893328,3.38075801487877
3.35236856510465,3.51072432737201
3.41715116050080,3.50618977521373
3.42560467380791,3.44718996561420
3.37459189298337,3.43221388323438
3.31776139023014,3.54316957101753
3.35793221884656,3.56384465834357
3.37465970755540,3.46047149780215
3.32047255309158,3.48005847479775
3.38786030720251,3.41061410502037
3.32931079992673,3.49667642099467
3.35786305964011,3.51320581594009
3.36344175921937,3.46299213240555
3.37618495753103,3.50191122841027
3.41233359879815,3.50584119067650
3.38406649174508,3.47987061176772
3.37755055025746,3.48464951826055
3.37906686520538,3.46572576636174
3.40421625340813,3.43500549564965
3.38961830967401,3.54912381023647
3.38537620431469,3.49313426647726
3.35375595537791,3.53797647887603
3.36631538654048,3.53202674410660
3.33099741530461,3.50265338205164
3.32089357114323,3.52059781635861
3.32411293655337,3.47056586505070
3.37101456958408,3.46110230647744
3.35805434256221,3.42201825749834
3.31205751637775,3.53080955732624
3.39780883149281,3.42617985251110
3.34985456703077,3.51238610210752
3.37864388011476,3.49098817748805
3.35781044334865,3.52971120876471
3.35686666050747,3.55688074364293
3.32704646629648,3.48833887058491
3.31545155968878,3.49919976799149
3.34731918414782,3.54713999811551
3.32785854724833,3.48738768347167
3.31695338034242,3.51559535676162
3.36052770260645,3.49727555984289
3.37028371845890,3.48697833897559
3.36808223921371,3.45357935470257
3.38645110302199,3.50570895126814
3.36080957204796,3.47900436948631
3.36536168240298,3.49694649124457
3.38479597297225,3.47184150722116
3.36112790880099,3.45967665229358
3.34628128066842,3.50499702831465
3.32788000243882,3.41286448269232
3.38795123696897,3.44498522057794
3.38880670574110,3.48855665243950
3.40843964867272,3.45796588191012
3.38426028863807,3.47251107553625
3.38907637279874,3.48284655365567
,3.50758036027649
,3.48939726557342
,3.47567422745208
,3.45203224444293
,3.35357234230513
,3.47490818069686
,3.53163514851942
,3.43662003155234
,3.43828027592671
,3.45125527835766
,3.51342847013958
,3.50033015102136
,3.42552260061195
,3.43194343657059
,3.40055918168011
,3.39221332281609
,3.45373178975448
,3.49480815739575
,3.45612693599207
,3.45036798277956
,3.48324282549512
,3.49445920995384
