,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
,20220518_AchsensorHEK002_laser,20220518_AchsensorHEK002_laser,20220518_AchsensorHEK002_laser,,,20221024_AchsensorHEK002_laser,20221024_AchsensorHEK002_laser,20221024_AchsensorHEK002_laser,,,20221024_AchsensorHEK003_laser,20221024_AchsensorHEK003_laser,20221024_AchsensorHEK003_laser,20221024_AchsensorHEK003_laser,,,,,,,20220518_AchsensorHEK002_laser,20220518_AchsensorHEK002_laser,20220518_AchsensorHEK002_laser,,,20221024_AchsensorHEK002_laser,20221024_AchsensorHEK002_laser,20221024_AchsensorHEK002_laser,,,20221024_AchsensorHEK003_laser,20221024_AchsensorHEK003_laser,20221024_AchsensorHEK003_laser,20221024_AchsensorHEK003_laser,,,,,,
Baseline,-0.00389551540570,-0.00632429440953,0.00002425587435,,,0.01235122648505,0.02946372239654,0.02720769243299,,,0.04405060420179,0.00341979466168,0.01550473083560,0.03135142693667,,,,,,,0.02350197009754,0.05001042923236,0.01665675447527,,,-0.00825405135033,-0.00720770664372,0.00173421378785,,,0.01456811655457,-0.03188544242657,-0.00763562002925,-0.00192185883664,,,,,,
ACh,0.14322757580999,0.15813270038715,0.10474723310340,,,0.15072164048230,0.17031021391512,0.14519579650765,,,0.08096627587176,0.13442796393379,0.15475086958738,0.12346912319971,,,,,,,0.11260689660006,0.10791525775397,0.08567624782692,,,0.17010958682288,0.18990090937376,0.17055555539589,,,0.11601638273915,0.15709254603113,0.14166649132417,0.15364868656568,,,,,,
