,"Baseline ",ACh
,,
"20220427_AchMut_HEK_001
",0.01206457612384,0.00966613449241
,,
,,
,,
20220427_AchMut_HEK_002,-0.00098416743280,0.01826944767953
20220427_AchMut_HEK_002,0.00167003400083,0.01241762897272
20220427_AchMut_HEK_002,0.00442000752122,0.01483456078614
20220427_AchMut_HEK_002,0.01819265374787,0.00139912467629
