,Baseline,ACh
0.00000000000000,0.00000000000000,0.00000000000000
0.04901960784314,0.00000000000000,0.00000000000000
0.09803921568627,0.00000000000000,0.00000000000000
0.14705882352941,0.00000000000000,0.00000000000000
0.19607843137255,0.00000000000000,0.00000000000000
0.24509803921569,0.00000000000000,0.00000000000000
0.29411764705882,0.00000000000000,0.00000000000000
0.34313725490196,0.00000000000000,0.00000000000000
0.39215686274510,2.78201220000000,3.14633422000000
0.44117647058824,1.98170732000000,3.23538142000000
0.49019607843137,2.59146341000000,3.23538142000000
0.53921568627451,2.89634146000000,2.96823983000000
0.58823529411765,1.82926829000000,2.89403384000000
0.63725490196078,2.40091463000000,3.11665183000000
0.68627450980392,2.55335366000000,3.36895221000000
0.73529411764706,2.51524390000000,2.96823983000000
0.78431372549020,2.62957317000000,3.23538142000000
0.83333333333333,3.20121951000000,4.33363016000000
0.88235294117647,4.91615854000000,6.18878005000000
0.93137254901961,9.90853659000000,9.81003265000000
0.98039215686275,16.42530490000000,15.85040070000000
1.02941176470588,29.15396340000000,24.97773820000000
1.07843137254902,41.61585370000000,36.56871480000000
1.12745098039216,53.35365850000000,49.89611160000000
1.17647058823529,68.44512200000000,62.46660730000000
1.22549019607843,80.48780490000000,75.83852780000000
1.27450980392157,88.49085370000000,85.98990800000000
1.32352941176471,93.59756100000000,91.97091120000000
1.37254901960784,96.76067070000000,96.61620660000000
1.42156862745098,99.27591460000000,99.24309880000000
1.47058823529412,100.00000000000000,99.22825760000000
1.51960784313725,97.94207320000000,98.32294450000000
1.56862745098039,99.00914630000000,99.34698720000000
1.61764705882353,98.39939020000000,100.00000000000000
1.66666666666667,98.09451220000000,97.20985460000000
1.71568627450980,95.54115850000000,96.60136540000000
1.76470588235294,91.88262200000000,95.87414660000000
1.81372549019608,88.56707320000000,94.99851590000000
1.86274509803922,90.05335370000000,94.90946870000000
1.91176470588235,90.47256100000000,95.11724550000000
1.96078431372549,86.58536590000000,90.27901450000000
2.00980392156863,85.67073170000000,87.90442270000000
2.05882352941176,84.98475610000000,86.56871480000000
2.10784313725490,82.12652440000000,86.85069750000000
2.15686274509804,78.01067070000000,83.27396850000000
2.20588235294118,76.10518290000000,79.74176310000000
2.25490196078431,72.52286590000000,79.65271590000000
2.30392156862745,75.11432930000000,77.79756600000000
2.35294117647059,72.56097560000000,76.09082810000000
2.40196078431373,69.89329270000000,76.00178090000000
2.45098039215686,67.41615850000000,74.29504300000000
2.50000000000000,67.11128050000000,74.60670820000000
2.54901960784314,65.70121950000000,73.15227070000000
2.59803921568627,68.52134150000000,71.68299200000000
2.64705882352941,62.80487800000000,70.15434850000000
2.69607843137255,65.51067070000000,70.31760170000000
2.74509803921569,60.17530490000000,69.14514690000000
2.79411764705882,61.81402440000000,66.81507870000000
2.84313725490196,61.28048780000000,67.15642620000000
2.89215686274510,58.23170730000000,65.80587710000000
2.94117647058824,59.67987800000000,63.77263280000000
2.99019607843137,56.13567070000000,62.03621250000000
3.03921568627451,58.49847560000000,62.83763730000000
3.08823529411765,56.74542680000000,59.54289110000000
3.13725490196078,54.03963410000000,60.03265060000000
3.18627450980392,52.97256100000000,60.67082220000000
3.23529411764706,52.17225610000000,57.37607600000000
3.28431372549020,48.09451220000000,58.40011870000000
3.33333333333333,50.60975610000000,55.81775010000000
3.38235294117647,47.21798780000000,55.86227370000000
3.43137254901961,48.70426830000000,55.66933810000000
3.48039215686275,49.23780490000000,54.67497770000000
3.52941176470588,48.01829270000000,54.08132980000000
3.57843137254902,45.65548780000000,55.00148410000000
3.62745098039216,47.40853660000000,53.11665180000000
3.67647058823529,46.60823170000000,51.52864350000000
3.72549019607843,45.61737800000000,52.37459190000000
3.77450980392157,45.69359760000000,51.29118430000000
3.82352941176471,43.78810980000000,52.65657470000000
3.87254901960784,42.75914630000000,49.59928760000000
3.92156862745098,43.86432930000000,48.17453250000000
3.97058823529412,42.33993900000000,47.07628380000000
4.01960784313726,40.20579270000000,46.43811220000000
4.06862745098039,41.00609760000000,44.21193230000000
4.11764705882353,40.05335370000000,44.47907390000000
4.16666666666667,36.92835370000000,42.31225880000000
4.21568627450980,35.89939020000000,44.13772630000000
4.26470588235294,36.16615850000000,42.44582960000000
4.31372549019608,36.08993900000000,41.13980410000000
4.36274509803922,34.71798780000000,40.87266250000000
4.41176470588235,35.86128050000000,41.08043930000000
4.46078431372549,33.95579270000000,40.84298010000000
4.50980392156863,33.68902440000000,39.77441380000000
4.55882352941176,33.15548780000000,39.01751260000000
4.60784313725490,32.62195120000000,38.31997630000000
4.65686274509804,33.04115850000000,38.36449990000000
4.70588235294118,31.25000000000000,37.47402790000000
4.75490196078431,32.16463410000000,37.31077470000000
4.80392156862745,30.86890240000000,37.47402790000000
4.85294117647059,31.40243900000000,36.77649150000000
4.90196078431373,29.64939020000000,34.65420010000000
4.95098039215686,28.92530490000000,36.21252600000000
5.00000000000000,27.70579270000000,34.34253490000000
5.04901960784314,29.45884150000000,33.31849210000000
5.09803921568627,28.04878050000000,31.96794300000000
5.14705882352941,26.21951220000000,31.19620070000000
5.19607843137255,25.99085370000000,30.48382310000000
5.24509803921569,25.57164630000000,29.68239830000000
5.29411764705882,26.02896340000000,31.34461260000000
5.34313725490196,24.58079270000000,29.22232120000000
5.39215686274510,23.24695120000000,27.93113680000000
5.44117647058824,25.03810980000000,28.00534280000000
5.49019607843137,24.77134150000000,29.74176310000000
5.53921568627451,24.88567070000000,28.46542000000000
5.58823529411765,23.55182930000000,29.75660430000000
5.63725490196079,23.05640240000000,27.67883640000000
