,"ACh sensor",Autofluorescence
0.048828125,0.00000000000000,0.00000000000000
0.097656250,0.00000000000000,0.00000000000000
0.146484375,0.00000000000000,0.00000000000000
0.195312500,0.00000000000000,0.00000000000000
0.244140625,0.00000000000000,0.00000000000000
0.292968750,0.00000000000000,0.00000000000000
0.341796875,0.00000000000000,0.00000000000000
0.390625000,0.00000000000000,0.00000000000000
0.439453125,0.02807017543860,0.03824626865672
0.488281250,0.02730739893211,0.03936567164179
0.537109375,0.02578184591915,0.03787313432836
0.585937500,0.02776506483600,0.04458955223881
0.634765625,0.03249427917620,0.05578358208955
0.683593750,0.04271548436308,0.07985074626866
0.732421875,0.05598779557590,0.13432835820896
0.781250000,0.10450038138825,0.25074626865672
0.830078125,0.18230358504958,0.37910447761194
0.878906250,0.28207475209764,0.54888059701493
0.927734375,0.40930587337910,0.72164179104478
0.976562500,0.54004576659039,0.85522388059702
1.025390625,0.67887109077040,0.94776119402985
1.074218750,0.79664378337147,1.00000000000000
1.123046875,0.88527841342487,0.99347014925373
1.171875000,0.92265446224256,0.96343283582090
1.220703125,0.97086193745233,0.90466417910448
1.269531250,0.98627002288330,0.80895522388060
1.318359375,0.98779557589626,0.77555970149254
1.367187500,0.99176201372998,0.71697761194030
1.416015625,0.98016781083143,0.64533582089552
1.464843750,1.00000000000000,0.62817164179105
1.513671875,0.96155606407323,0.59645522388060
1.562500000,0.95850495804729,0.54626865671642
1.611328125,0.95865751334859,0.53171641791045
1.660156250,0.93516399694889,0.51399253731343
1.708984375,0.90770404271548,0.47723880597015
1.757812500,0.90800915331808,0.47406716417910
1.806640625,0.89153318077803,0.46716417910448
1.855468750,0.85232646834478,0.43824626865672
1.904296875,0.87734553775744,0.40839552238806
1.953125000,0.83844393592677,0.38768656716418
2.001953125,0.81647597254005,0.37891791044776
2.050781250,0.80579710144928,0.35634328358209
2.099609375,0.77574370709382,0.33526119402985
2.148437500,0.75713196033562,0.31753731343284
2.197265625,0.77254004576659,0.30167910447761
2.246093750,0.74813119755912,0.29421641791045
2.294921875,0.71121281464531,0.29832089552239
2.343750000,0.69565217391304,0.26902985074627
2.392578125,0.71228070175439,0.27313432835821
2.441406250,0.68817696414950,0.25223880597015
2.490234375,0.70053394355454,0.24514925373134
2.539062500,0.66270022883295,0.25447761194030
2.587890625,0.67551487414188,0.24309701492537
2.636718750,0.65430968726163,0.22723880597015
2.685546875,0.66468344774981,0.23078358208955
2.734375000,0.64103737604882,0.21380597014925
2.783203125,0.61266209000763,0.21772388059702
2.832031250,0.61449275362319,0.22276119402985
2.880859375,0.59801678108314,0.20354477611940
2.929687500,0.60366132723112,0.21361940298508
2.978515625,0.58352402745995,0.19589552238806
3.027343750,0.57467581998475,0.20093283582090
3.076171875,0.58657513348589,0.19552238805970
3.125000000,0.55804729214340,0.19104477611940
3.173828125,0.54675819984745,0.18656716417911
3.222656250,0.56048817696415,0.17108208955224
3.271484375,0.53028222730740,0.17500000000000
3.320312500,0.53592677345538,0.17779850746269
3.369140625,0.52204424103738,0.17854477611940
3.417968750,0.51045003813883,0.17798507462687
3.466796875,0.49595728451564,0.17555970149254
3.515625000,0.49336384439359,0.17126865671642
3.564453125,0.50389016018307,0.15727611940299
3.613281250,0.50648360030511,0.15111940298508
3.662109375,0.49305873379100,0.16026119402985
3.710937500,0.48512585812357,0.15541044776119
3.759765625,0.47612509534706,0.14477611940299
3.808593750,0.46422578184592,0.14608208955224
3.857421875,0.44134248665141,0.14067164179105
3.906250000,0.44149504195271,0.14085820895522
3.955078125,0.43874904652937,0.13619402985075
4.003906250,0.43508771929825,0.12630597014925
4.052734375,0.42471395881007,0.12761194029851
4.101562500,0.39832189168574,0.12201492537313
4.150390625,0.41479786422578,0.12593283582090
4.199218750,0.39618611746758,0.12014925373134
4.248046875,0.39023646071701,0.11492537313433
4.296875000,0.37467581998475,0.11287313432836
4.345703125,0.39389778794813,0.11623134328358
4.394531250,0.37574370709382,0.10298507462687
4.443359375,0.37940503432494,0.11231343283582
4.492187500,0.35530129672006,0.11996268656716
4.541015625,0.37070938215103,0.10223880597015
4.589843750,0.35484363081617,0.11231343283582
4.638671875,0.35225019069413,0.11212686567164
4.687500000,0.33790999237224,0.10970149253731
4.736328125,0.35835240274600,0.10298507462687
4.785156250,0.33546910755149,0.10634328358209
4.833984375,0.32540045766590,0.10522388059702
4.882812500,0.30953470633105,0.10503731343284
4.931640625,0.30724637681159,0.09458955223881
4.980468750,0.30007627765065,0.09048507462687
5.029296875,0.29397406559878,0.08694029850746
5.078125000,0.28634630053394,0.09048507462687
5.126953125,0.27627765064836,0.09104477611940
5.175781250,0.28848207475210,0.08526119402985
5.224609375,0.28009153318078,0.08600746268657
5.273437500,0.27307398932113,0.09160447761194
5.322265625,0.27826086956522,0.08619402985075
5.371093750,0.27337909992372,0.08805970149254
5.419921875,0.26132723112128,0.09141791044776
5.468750000,0.27276887871854,0.09179104477612
5.517578125,0.27444698703280,0.09197761194030
5.566406250,0.25675057208238,0.07985074626866
5.615234375,0.26041189931350,0.08638059701493
5.664062500,0.25537757437071,0.08582089552239
5.712890625,0.23340961098398,0.08041044776119
5.761718750,0.23310450038139,0.07593283582090
5.810546875,0.23585049580473,0.07630597014925
5.859375000,0.22166285278413,0.07537313432836
5.908203125,0.22059496567506,0.07425373134328
5.957031250,0.21906941266209,0.06921641791045
6.005859375,0.21296720061022,0.06660447761194
6.054687500,0.20549199084668,0.07462686567164
6.103515625,0.21006864988558,0.07033582089552
6.152343750,0.21693363844394,0.07518656716418
