,"Low Photon","High Photon"
0.048828125,707.00000000000,2136.000000000000
0.097656250,697.00000000000,1997.000000000000
0.146484375,623.00000000000,1990.000000000000
0.195312500,705.00000000000,1927.000000000000
0.244140625,662.00000000000,1923.000000000000
0.292968750,677.00000000000,1827.000000000000
0.341796875,621.00000000000,1760.000000000000
0.390625000,629.00000000000,1745.000000000000
0.439453125,583.00000000000,1712.000000000000
0.488281250,612.00000000000,1753.000000000000
0.537109375,544.00000000000,1673.000000000000
0.585937500,541.00000000000,1611.000000000000
0.634765625,556.00000000000,1679.000000000000
0.683593750,531.00000000000,1538.000000000000
0.732421875,511.00000000000,1619.000000000000
0.781250000,523.00000000000,1520.000000000000
0.830078125,500.00000000000,1538.000000000000
0.878906250,497.00000000000,1452.000000000000
0.927734375,490.00000000000,1364.000000000000
0.976562500,470.00000000000,1397.000000000000
1.025390625,485.00000000000,1356.000000000000
1.074218750,430.00000000000,1339.000000000000
1.123046875,498.00000000000,1307.000000000000
1.171875000,438.00000000000,1295.000000000000
1.220703125,414.00000000000,1325.000000000000
1.269531250,426.00000000000,1285.000000000000
1.318359375,440.00000000000,1209.000000000000
1.367187500,462.00000000000,1175.000000000000
1.416015625,398.00000000000,1240.000000000000
1.464843750,397.00000000000,1093.000000000000
1.513671875,387.00000000000,1136.000000000000
1.562500000,369.00000000000,1112.000000000000
1.611328125,391.00000000000,1125.000000000000
1.660156250,399.00000000000,1087.000000000000
1.708984375,339.00000000000,1039.000000000000
1.757812500,345.00000000000,1091.000000000000
1.806640625,330.00000000000,1014.000000000000
1.855468750,293.00000000000,966.000000000000
1.904296875,351.00000000000,944.000000000000
1.953125000,337.00000000000,1009.000000000000
2.001953125,335.00000000000,939.000000000000
2.050781250,315.00000000000,963.000000000000
2.099609375,312.00000000000,960.000000000000
2.148437500,325.00000000000,956.000000000000
2.197265625,291.00000000000,957.000000000000
2.246093750,320.00000000000,931.000000000000
2.294921875,318.00000000000,842.000000000000
2.343750000,286.00000000000,821.000000000000
2.392578125,301.00000000000,777.000000000000
2.441406250,251.00000000000,824.000000000000
2.490234375,278.00000000000,831.000000000000
2.539062500,284.00000000000,778.000000000000
2.587890625,283.00000000000,732.000000000000
2.636718750,256.00000000000,782.000000000000
2.685546875,270.00000000000,760.000000000000
2.734375000,270.00000000000,702.000000000000
2.783203125,250.00000000000,735.000000000000
2.832031250,260.00000000000,720.000000000000
2.880859375,233.00000000000,714.000000000000
2.929687500,230.00000000000,685.000000000000
2.978515625,238.00000000000,730.000000000000
3.027343750,236.00000000000,659.000000000000
3.076171875,235.00000000000,623.000000000000
3.125000000,247.00000000000,619.000000000000
3.173828125,236.00000000000,636.000000000000
3.222656250,228.00000000000,601.000000000000
3.271484375,227.00000000000,612.000000000000
3.320312500,213.00000000000,587.000000000000
3.369140625,206.00000000000,586.000000000000
3.417968750,182.00000000000,550.000000000000
3.466796875,193.00000000000,579.000000000000
3.515625000,195.00000000000,548.000000000000
3.564453125,177.00000000000,564.000000000000
3.613281250,192.00000000000,564.000000000000
3.662109375,175.00000000000,528.000000000000
3.710937500,190.00000000000,507.000000000000
3.759765625,197.00000000000,536.000000000000
3.808593750,159.00000000000,521.000000000000
3.857421875,155.00000000000,521.000000000000
3.906250000,164.00000000000,478.000000000000
3.955078125,180.00000000000,482.000000000000
4.003906250,169.00000000000,480.000000000000
4.052734375,172.00000000000,488.000000000000
4.101562500,142.00000000000,467.000000000000
4.150390625,169.00000000000,452.000000000000
4.199218750,153.00000000000,478.000000000000
4.248046875,161.00000000000,469.000000000000
4.296875000,143.00000000000,470.000000000000
4.345703125,172.00000000000,405.000000000000
4.394531250,137.00000000000,413.000000000000
4.443359375,140.00000000000,419.000000000000
4.492187500,131.00000000000,419.000000000000
4.541015625,131.00000000000,399.000000000000
4.589843750,141.00000000000,380.000000000000
4.638671875,129.00000000000,385.000000000000
4.687500000,125.00000000000,373.000000000000
4.736328125,156.00000000000,344.000000000000
4.785156250,107.00000000000,374.000000000000
4.833984375,117.00000000000,353.000000000000
4.882812500,105.00000000000,340.000000000000
4.931640625,109.00000000000,329.000000000000
4.980468750,96.00000000000,324.000000000000
5.029296875,113.00000000000,335.000000000000
5.078125000,135.00000000000,329.000000000000
5.126953125,108.00000000000,296.000000000000
5.175781250,97.00000000000,308.000000000000
5.224609375,104.00000000000,322.000000000000
5.273437500,106.00000000000,300.000000000000
5.322265625,97.00000000000,285.000000000000
5.371093750,101.00000000000,320.000000000000
5.419921875,101.00000000000,299.000000000000
5.468750000,104.00000000000,290.000000000000
5.517578125,95.00000000000,276.000000000000
5.566406250,108.00000000000,262.000000000000
5.615234375,97.00000000000,269.000000000000
5.664062500,99.00000000000,255.000000000000
5.712890625,99.00000000000,249.000000000000
5.761718750,92.00000000000,243.000000000000
5.810546875,80.00000000000,237.000000000000
5.859375000,76.00000000000,282.000000000000
5.908203125,89.00000000000,249.000000000000
5.957031250,74.00000000000,237.000000000000
6.005859375,86.00000000000,217.000000000000
6.054687500,88.00000000000,256.000000000000
6.103515625,67.00000000000,251.000000000000
6.152343750,86.00000000000,247.000000000000
6.201171875,74.00000000000,222.000000000000
6.250000000,93.00000000000,206.000000000000
6.298828125,78.00000000000,214.000000000000
6.347656250,64.00000000000,207.000000000000
6.396484375,78.00000000000,197.000000000000
6.445312500,76.00000000000,200.000000000000
6.494140625,66.00000000000,228.000000000000
