state2.2
"[2375.7, 2401.7]"
"[2464.2, 2620.3]"
"[2650.4, 3101.3]"
"[4874.9, 5113.1]"
"[5183.2, 5721.0]"
"[8442.7, 8481.2]"
"[9310.5, 9553.0]"
"[10970.0, 11554.0]"
"[11650.0, 11982.0]"
"[13430.0, 13462.0]"
"[13886.0, 14153.0]"
"[15146.0, 15549.0]"
"[17022.0, 17278.0]"
"[17643.0, 18090.0]"
"[18311.0, 18398.0]"
"[18731.0, 19250.0]"
"[21537.0, 21590.0]"
"[21682.0, 21705.0]"
"[21774.0, 22025.0]"
"[23827.0, 24106.0]"
"[30927.0, 31798.0]"
"[32058.0, 32085.0]"
"[32158.0, 32498.0]"
"[32650.0, 33181.0]"
"[33230.0, 33529.0]"
"[33578.0, 33737.0]"
"[33814.0, 33933.0]"
"[37298.0, 37557.0]"
"[37599.0, 37726.0]"
"[38063.0, 38626.0]"
"[38687.0, 39669.0]"
"[42427.0, 42821.0]"
"[42866.0, 43177.0]"
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
