state1.2
"[993.14, 1387.3]"
"[2697.2, 2723.7]"
"[2904.8, 3035.4]"
"[3891.7, 4102.8]"
"[4400.5, 4547.1]"
"[5932.4, 6362.9]"
"[6584.7, 6655.1]"
"[7416.5, 7494.5]"
"[8548.3, 9155.2]"
"[9300.1, 9538.8]"
"[12368.0, 12451.0]"
"[12568.0, 13332.0]"
"[13428.0, 13543.0]"
"[13716.0, 13912.0]"
"[14392.0, 14499.0]"
"[14899.0, 14979.0]"
"[15092.0, 15375.0]"
"[15485.0, 15728.0]"
"[15904.0, 16431.0]"
"[16520.0, 16647.0]"
"[16757.0, 17151.0]"
"[17321.0, 18099.0]"
"[18232.0, 18463.0]"
"[18596.0, 19079.0]"
"[19156.0, 19244.0]"
"[19364.0, 21416.0]"
"[21868.0, 21991.0]"
"[22361.0, 22446.0]"
"[22560.0, 22607.0]"
"[22704.0, 22856.0]"
"[22965.0, 23035.0]"
"[23164.0, 23187.0]"
"[23380.0, 23464.0]"
"[24128.0, 24207.0]"
"[30896.0, 31079.0]"
"[31212.0, 31255.0]"
"[31388.0, 31431.0]"
"[31624.0, 31715.0]"
"[32040.0, 32647.0]"
"[33444.0, 33467.0]"
"[34071.0, 34118.0]"
"[36575.0, 37894.0]"
"[37967.0, 38005.0]"
"[38106.0, 38394.0]"
"[38579.0, 38865.0]"
"[39323.0, 39746.0]"
"[39830.0, 40445.0]"
"[40874.0, 40950.0]"
"[40986.0, 41090.0]"
"[41227.0, 41509.0]"
"[41971.0, 42542.0]"
"[43131.0, 43186.0]"
""
""
""
""
""
""
""
""
