,Mouse ID,Laser,Resting Fit Lifetime,Resting Empirical Lifetime,Resting Intensity,Running Fit Lifetime,Running Empirical Lifetime,Running Intensity
0,1610,1,2.504846734757894,4.194272655160654,381474.95238095237,2.549770562270032,4.254722527849088,426695.10869565216
1,1610,2,,,,,,
2,1610,3,2.5285033974725346,4.200558721724286,270869.88157894736,2.5696851403150567,4.261144293136214,305663.3333333333
3,1611,1,2.4435360883431163,4.195284398429046,195797.5357142857,2.4870689714070187,4.242075222002,215500.1923076923
4,1611,2,,,,,,
5,1611,3,,,,,,
6,1612,1,2.521179330548818,4.192407704306709,491631.5,2.5702804124628926,4.26546003334053,582907.75
7,1612,2,2.5395807430967237,4.2088665735426956,443971.7,2.5880747671413213,4.279205117491796,520835.9411764706
8,1612,3,,,,,,
9,1626,1,2.4594896690171435,4.173628216979155,267550.9130434783,2.5182534114263357,4.246948583999579,311732.21428571426
10,1626,2,,,,,,
11,1626,3,,,,,,
12,1629,1,2.4486759324576073,4.162756710540594,290836.0833333333,2.4958854871898586,4.23661470290443,334770.28
13,1629,2,2.486469887163305,4.230364658026833,172226.33333333334,2.532347731725514,4.300832264737704,205088.5
14,1629,3,2.4523964734081876,4.211077007489671,146853.65217391305,2.5023820416370817,4.279628243179054,170658.39655172414
15,1630,1,2.496164351200113,4.1899110955826835,573997.5,2.5357156727090864,4.260426536501772,660146.6833333333
16,1630,2,2.5259440992376443,4.227332808100921,357218.3,2.566931911141603,4.295804532460382,419272.7291666667
17,1630,3,2.4968997607401042,4.222778234803062,272938.4761904762,2.544800358634528,4.294530538368488,319631.29411764705
