state1.2
"[432.52, 619.22]"
"[852.32, 1291.0]"
"[1408.6, 1482.7]"
"[2004.0, 2059.1]"
"[2145.4, 2247.4]"
"[2601.3, 2619.0]"
"[2768.8, 2842.6]"
"[2913.0, 3367.0]"
"[4016.2, 4434.6]"
"[5276.2, 5358.4]"
"[6468.4, 6495.5]"
"[6652.3, 6910.4]"
"[7648.0, 8278.1]"
"[8851.9, 9038.1]"
"[9515.6, 9546.8]"
"[9639.4, 9706.0]"
"[10405.0, 10588.0]"
"[10684.0, 10848.0]"
"[10921.0, 10956.0]"
"[12333.0, 12368.0]"
"[12560.0, 12692.0]"
"[12957.0, 12980.0]"
"[13049.0, 13095.0]"
"[13209.0, 13336.0]"
"[14568.0, 14591.0]"
"[14981.0, 15043.0]"
"[15176.0, 15364.0]"
"[16432.0, 16832.0]"
"[17336.0, 17466.0]"
"[18107.0, 18139.0]"
"[18291.0, 18407.0]"
"[18987.0, 19006.0]"
"[20624.0, 20647.0]"
"[20832.0, 20907.0]"
"[20941.0, 21039.0]"
"[22148.0, 22851.0]"
"[23005.0, 23519.0]"
"[23644.0, 23927.0]"
"[24036.0, 24307.0]"
"[24937.0, 24967.0]"
"[25313.0, 25631.0]"
"[26608.0, 26635.0]"
"[26809.0, 27163.0]"
"[27280.0, 27359.0]"
"[27909.0, 27931.0]"
"[28244.0, 28875.0]"
"[28973.0, 29112.0]"
"[29652.0, 29775.0]"
"[30540.0, 30651.0]"
"[31388.0, 31729.0]"
"[31850.0, 32161.0]"
"[32301.0, 32449.0]"
"[32526.0, 32577.0]"
"[33161.0, 33417.0]"
"[35929.0, 35956.0]"
"[36356.0, 36735.0]"
"[36821.0, 37043.0]"
"[37116.0, 37163.0]"
"[37232.0, 37423.0]"
"[38225.0, 38427.0]"
"[38561.0, 38848.0]"
"[39008.0, 39191.0]"
"[40925.0, 41691.0]"
"[41881.0, 41919.0]"
"[42152.0, 42179.0]"
"[42261.0, 42344.0]"
"[42436.0, 42531.0]"
"[42568.0, 42683.0]"
"[42857.0, 43188.0]"
