state2.2
"[13.219, 223.38]"
"[1507.7, 1735.4]"
"[1789.5, 1979.0]"
"[2273.4, 2575.3]"
"[3392.5, 3662.9]"
"[3708.8, 3810.8]"
"[4460.1, 4731.2]"
"[4780.4, 5115.1]"
"[5429.2, 5622.7]"
"[5875.5, 6062.7]"
"[6104.3, 6442.4]"
"[6935.9, 7295.0]"
"[8303.7, 8682.3]"
"[9064.1, 9490.6]"
"[9732.0, 10251.0]"
"[10981.0, 11639.0]"
"[11921.0, 12308.0]"
"[12717.0, 12932.0]"
"[13361.0, 13819.0]"
"[13865.0, 14083.0]"
"[14165.0, 14411.0]"
"[14656.0, 14875.0]"
"[15389.0, 15803.0]"
"[16857.0, 17231.0]"
"[17491.0, 17974.0]"
"[18432.0, 18962.0]"
"[19031.0, 19658.0]"
"[19839.0, 20146.0]"
"[20208.0, 20599.0]"
"[21064.0, 21855.0]"
"[24332.0, 24912.0]"
"[25656.0, 26439.0]"
"[27384.0, 27884.0]"
"[28900.0, 28948.0]"
"[29137.0, 29627.0]"
"[29800.0, 30328.0]"
"[30676.0, 31363.0]"
"[32474.0, 32501.0]"
"[32602.0, 33136.0]"
"[33442.0, 33697.0]"
"[33830.0, 34232.0]"
"[34337.0, 34641.0]"
"[34866.0, 35416.0]"
"[35533.0, 35904.0]"
"[35981.0, 36331.0]"
"[37448.0, 38091.0]"
"[38957.0, 38983.0]"
"[39216.0, 40363.0]"
"[40568.0, 40731.0]"
"[40777.0, 40900.0]"
"[41944.0, 42047.0]"
"[42096.0, 42127.0]"
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
