state4.2
"[1923.0, 1978.1]"
"[3139.1, 3161.5]"
"[5762.6, 5781.4]"
"[6914.5, 7057.3]"
"[7778.6, 7821.5]"
"[7874.5, 8072.9]"
"[8518.5, 8541.4]"
"[8906.8, 8949.5]"
"[9061.8, 9093.0]"
"[9614.4, 9724.6]"
"[10443.0, 10474.0]"
"[10554.0, 10601.0]"
"[12661.0, 12717.0]"
"[13206.0, 13326.0]"
"[13487.0, 13557.0]"
"[14178.0, 14374.0]"
"[15063.0, 15121.0]"
"[15574.0, 15710.0]"
"[16791.0, 16893.0]"
"[19274.0, 19461.0]"
"[20026.0, 20077.0]"
"[20358.0, 20402.0]"
"[20903.0, 20949.0]"
"[21086.0, 21326.0]"
"[21463.0, 21513.0]"
"[22086.0, 22189.0]"
"[23335.0, 23401.0]"
"[23530.0, 23722.0]"
"[26595.0, 26825.0]"
"[28319.0, 28446.0]"
"[28515.0, 28542.0]"
"[28930.0, 28994.0]"
"[29727.0, 29825.0]"
"[30487.0, 30678.0]"
"[34134.0, 34337.0]"
"[34971.0, 35205.0]"
"[37786.0, 37969.0]"
"[41226.0, 41277.0]"
"[42099.0, 42178.0]"
"[42291.0, 42402.0]"
""
""
""
""
""
""
""
""
""
""
""
""
""
